```csv
### SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"Resource Bankshares,"Inc."","Newark,"NJ"","2015","CUDD & Co 13-6022143","Common","128650","8.2237%","n/a"
"Resource Bankshares,"Inc."","New Orleans,"LA"","2015","Zemurray Foundation","Common","118650","7.5845%","n/a"
### INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"Resource Bankshares,"Inc."","Director","David A. Briggs,"Jr."","Director","David Briggs Enterprises,"Inc."","2015","Business Executive","n/a"
"Resource Bankshares,"Inc."","Director","David A. Briggs,"Jr."","Director","Briggs Investments,"Inc."","2015","Business Executive","n/a"
"Resource Bankshares,"Inc."","Director","David A. Briggs,"Jr."","Director","Briggs Management,"Inc."","2015","Business Executive","n/a"
"Resource Bankshares,"Inc."","Director","David A. Briggs,"Jr."","Partner","Daiquiris Chalmette Partnership","2015","Business Executive","n/a"
"Resource Bankshares,"Inc."","Director","David A. Briggs,"Jr."","Director","Briggs of Chalmette,"Inc."","2015","Business Executive","n/a"
"Resource Bankshares,"Inc."","Director","David A. Briggs,"Jr."","Director","RPB of Chalmette,"Inc."","2015","Business Executive","n/a"
"Resource Bankshares,"Inc."","Director","David A. Briggs,"Jr."","Director","Briggs Chalmette Property,"Inc."","2015","Business Executive","n/a"
"Resource Bankshares,"Inc."","Director","David A. Briggs,"Jr."","Director","D.A.B. Interest,"Inc"","2015","Business Executive","n/a"
"Resource Bankshares,"Inc."","Director","David A. Briggs,"Jr."","Director","Freeze,"Inc."","2015","Business Executive","n/a"
"Resource Bankshares,"Inc."","Director","David A. Briggs,"Jr."","Director","Daiquiris Lapalco Partnership","2015","Business Executive","n/a"
"Resource Bankshares,"Inc."","Director","David A. Briggs,"Jr."","Director","Briggs Westbank,"Inc."","2015","Business Executive","n/a"
"Resource Bankshares,"Inc."","Director","David A. Briggs,"Jr."","Director","R. Briggs Enterprises,"Inc."","2015","Business Executive","n/a"
"Resource Bankshares,"Inc."","Director","David A. Briggs,"Jr."","Partner","Daiquiris Carrollton Partnership","2015","Business Executive","n/a"
"Resource Bankshares,"Inc."","Director","David A. Briggs,"Jr."","Director","Clearview Cinema One,"Inc."","2015","Business Executive","n/a"
"Resource Bankshares,"Inc."","Director","David A. Briggs,"Jr."","Partner","Daiquiris Avondale Partnership","2015","Business Executive","n/a"
"Resource Bankshares,"Inc."","Director & Secretary","Michael B. Burris","Owner","Michael B. Burris,"CPA"","2015","CPA","n/a"
"Resource Bankshares,"Inc."","Director & Secretary","Michael B. Burris","Manager/Director","Magee AutoPlex of Franklinton,"LLC"","2015","CPA","n/a"
"Resource Bankshares,"Inc."","Director & Secretary","Michael B. Burris","Vice President/Director","Funds Management,"Inc."","2015","CPA","n/a"
"Resource Bankshares,"Inc."","Director & Secretary","Michael B. Burris","Manager/Director","AAA Buy Here Pay Here,"LLC"","2015","CPA","n/a"
"Resource Bankshares,"Inc."","Director & Secretary","Michael B. Burris","Manager/Director","Burris Warner Partnership LLC","2015","CPA","n/a"
"Resource Bankshares,"Inc."","Director & Secretary","Michael B. Burris","Manager/Director","Premier Funding,"LLC"","2015","CPA","n/a"
"Resource Bankshares,"Inc."","Director & Secretary","Michael B. Burris","Manager/Director","Bear Land LLC","2015","CPA","n/a"
