```csv
SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"Resource Bankshares,"Inc."","New Orleans,"LA"","2018","Kemper & Leila Williams Foundation","Common","128650","7.9157%","n/a"
"Resource Bankshares,"Inc."","New Orleans,"LA"","2018","Zemurray Foundation","Common","118650","7.3004%","n/a"
```
```csv
INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"Resource Bankshares,"Inc."","Director","David A. Briggs,"Jr."","Director","Briggs Investments,"Inc."","2018","Business Executive","n/a"
"Resource Bankshares,"Inc."","Director","David A. Briggs,"Jr."","Director","Freeze,"Inc."","2018","Business Executive","n/a"
"Resource Bankshares,"Inc."","Director","David A. Briggs,"Jr."","Member","Briggs Broussard Interest,"LLC"","2018","Business Executive","n/a"
"Resource Bankshares,"Inc."","Director","David A. Briggs,"Jr."","Director","David Briggs Enterprises,"Inc."","2018","Business Executive","n/a"
"Resource Bankshares,"Inc."","Director","David A. Briggs,"Jr."","Director","Briggs Management,"Inc."","2018","Business Executive","n/a"
"Resource Bankshares,"Inc."","Director","David A. Briggs,"Jr."","Director","D.A.B. Interest,"Inc"","2018","Business Executive","n/a"
"Resource Bankshares,"Inc."","Director","David A. Briggs,"Jr."","Director","Briggs of Terry Parkway,"Inc."","2018","Business Executive","n/a"
"Resource Bankshares,"Inc."","Director","David A. Briggs,"Jr."","Director","Briggs of Jefferson,"Inc."","2018","Business Executive","n/a"
"Resource Bankshares,"Inc."","Director","David A. Briggs,"Jr."","Director","Briggs of Belle Chasse,"Inc."","2018","Business Executive","n/a"
"Resource Bankshares,"Inc."","Director","David A. Briggs,"Jr."","Director","Clearview Cinema One,"Inc",","2018","Business Executive","n/a"
"Resource Bankshares,"Inc."","Director","David A. Briggs,"Jr."","Director","Briggs of Veterans,"Inc."","2018","Business Executive","n/a"
"Resource Bankshares,"Inc."","Director","David A. Briggs,"Jr."","Director","Briggs of Marrero,"Inc."","2018","Business Executive","n/a"
"Resource Bankshares,"Inc."","Director","David A. Briggs,"Jr."","Director","Briggs of Degaulle,"Inc."","2018","Business Executive","n/a"
"Resource Bankshares,"Inc."","Director","David A. Briggs,"Jr."","Director","Briggs of Alrline,"Inc."","2018","Business Executive","n/a"
"Resource Bankshares,"Inc."","Director","David A. Briggs,"Jr."","Director","Briggs of Manhattan,"Inc."","2018","Business Executive","n/a"
"Resource Bankshares,"Inc."","Director","David A. Briggs,"Jr."","Director","Briggs of Woodmere,"Inc."","2018","Business Executive","n/a"
"Resource Bankshares,"Inc."","Director","David A. Briggs,"Jr."","Director","Briggs of Myrtle Beach,"Inc."","2018","Business Executive","n/a"
"Resource Bankshares,"Inc."","Director","David A. Briggs,"Jr."","Director","Briggs of South Beach,"Inc."","2018","Business Executive","n/a"
"Resource Bankshares,"Inc."","Director","David A. Briggs,"Jr."","Director","Briggs of Philadelphia,"Inc."","2018","Business Executive","n/a"
"Resource Bankshares,"Inc."","Director","David A. Briggs,"Jr."","Director","Briggs of Beach Place,"Inc."","2018","Business Executive","n/a"
"Resource Bankshares,"Inc."","Director","David A. Briggs,"Jr."","Director","Briggs of Stratosphere,"Inc."","2018","Business Executive","n/a"
"Resource Bankshares,"Inc."","Director","David A. Briggs,"Jr."","Director","Briggs of Aladdin,"Inc"","2018","Business Executive","n/a"
"Resource Bankshares,"Inc."","Director","David A. Briggs,"Jr."","General Partner","Daiquiris - Mandeville Limited Partnership","2018","Business Executive","n/a"
"Resource Bankshares,"Inc."","Director","David A. Briggs,"Jr."","Limited Partner","Daiquiris - Mandeville Limited Partnership","2018","Business Executive","n/a"
"Resource Bankshares,"Inc."","Director","David A. Briggs,"Jr."","Director","Briggs of Mandeville,"Inc."","2018","Business Executive","n/a"
"Resource Bankshares,"Inc."","Director","David A. Briggs,"Jr."","Partner","Daiquiris Lapalco Partnership","2018","Business Executive","n/a"
"Resource Bankshares,"Inc."","Director","David A. Briggs,"Jr."","Director","Briggs Westbank,"Inc."","2018","Business Executive","n/a"
"Resource Bankshares,"Inc."","Director","David A. Briggs,"Jr."","Director","R. Briggs Enterprises,"Inc."","2018","Business Executive","n/a"
"Resource Bankshares,"Inc."","Director","David A. Briggs,"Jr."","Member","IOC I,"L.L.C."","2018","Business Executive","n/a"
"Resource Bankshares,"Inc."","Director","David A. Briggs,"Jr."","Director","Briggs of Clark County,"Inc."","2018","Business Executive","n/a"
