```csv
SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"Robertson Holding Company,"L.P."","Harrogate,"TN"","2016","CraigE.Robertson","Common Stock","5742.115","28.13%","2492485"
"Robertson Holding Company,"L.P."","Harrogate,"TN"","2016","John Adam Robertson","Common Stock","5100.1375","24.985%","2492485"
"Robertson Holding Company,"L.P."","Harrogate,"TN"","2016","Emily A (Robertson) King","Common Stock","5100.1375","24.985%","2492485"
"Robertson Holding Company,"L.P."","Harrogate,"TN"","2016","Craig E. Robertson","Common Stock","1117.59","5.47%","2492485"
"Robertson Holding Company,"L.P."","Harrogate,"TN"","2016","Craig E. Robertson","Common Stock","1117.59","5.47%","2492485"
"Robertson Holding Company,"L.P."","Harrogate,"TN"","2016","Craig E. Robertson","Common Stock","1117.59","5.47%","2492485"
"Commercial Bancgroup,"Inc."","Harrogate,"TN"","2016","Robertson Holding Company,"L.P."","Common Stock","20412.75","53.286%","n/a"
"Commercial Bancgroup,"Inc."","Harrogate,"TN"","2016","Unified Shares,"LLC"","Common Stock","10422","27.206%","n/a"
"Commercial Bancgroup,"Inc."","Harrogate,"TN"","2016","Craig E. Robertson","Common Stock","1117.59","5.47%","n/a"
```
```csv
INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"Robertson Holding Company,"L.P."","CEO & Chairman","Craig E. Robertson","President","Harrogate Insurance Agency,"Inc."","2016","CEO & Chairman","2492485"
"Robertson Holding Company,"L.P."","CEO & Chairman","Craig E. Robertson","President","SCR Rentals,"Inc."","2016","CEO & Chairman","2492485"
"Robertson Holding Company,"L.P."","CEO & Chairman","Craig E. Robertson","President","EI O Farms,"Inc."","2016","CEO & Chairman","2492485"
"Robertson Holding Company,"L.P."","CEO & Chairman","Craig E. Robertson","President","Cards Etc.,"Inc."","2016","CEO & Chairman","2492485"
"Robertson Holding Company,"L.P."","CEO & Chairman","Craig E. Robertson","President","Harrogate Restaurant Group,"Inc."","2016","CEO & Chairman","2492485"
"Robertson Holding Company,"L.P."","President","John Adam Robertson","Member","JACE Investments,"LLC"","2016","President","2492485"
"Robertson Holding Company,"L.P."","President","John Adam Robertson","President","JACE Foods,"Inc."","2016","President","2492485"
"Robertson Holding Company,"L.P."","n/a","Emily A. King","Member","JACE Investment,"LLC"","2016","Housewife","2492485"
"Robertson Holding Company,"L.P."","Accounting Clerk","Craig E. Robertson","n/a","n/a","2016","n/a","2492485"
"Robertson Holding Company,"L.P."","n/a","Craig E. Robertson","n/a","n/a","2016","Student","2492485"
"Commercial Bancgroup,"Inc."","President","John Adam Robertson","Member","JACE Investments,"LLC"","2016","n/a","n/a"
"Commercial Bancgroup,"Inc."","President","John Adam Robertson","President","JACE Foods,"Inc."","2016","n/a","n/a"
"Commercial Bancgroup,"Inc."","CEO & Chairman","Craig E. Robertson","n/a","n/a","2016","n/a","n/a"
"Commercial Bancgroup,"Inc."","Director","Julian R. West","Owner/Manager","JR West Properties,"LLC"","2016","Commercial Real Estate Rentals","n/a"
"Commercial Bancgroup,"Inc."","Director","Julian R. West","Managing Partner","West Realty Agency","2016","Commercial Real Estate Rentals","n/a"
"Commercial Bancgroup,"Inc."","Director","Julian R. West","President","West Finch Corporation","2016","Commercial Real Estate Rentals","n/a"
"Commercial Bancgroup,"Inc."","Director","Dorothy Neely","Vice President","Five Star Properties,"Inc."","2016","Retired","n/a"
"Commercial Bancgroup,"Inc."","Director","Dorothy Neely","President","Dorothy G. Neely Realty Corp.","2016","Retired","n/a"
"Commercial Bancgroup,"Inc."","Director","Dorothy Neely","President","Neely Family Realty Corp.","2016","Retired","n/a"
"Commercial Bancgroup,"Inc."","Director","Dorothy Neely","President","Neely Enterprises,"LLC"","2016","Retired","n/a"
"Commercial Bancgroup,"Inc."","President & Director","Terry L. Lee","President & CEO","Lee Oil Company,"Inc."","2016","CEO","n/a"
"Commercial Bancgroup,"Inc."","President & Director","Terry L. Lee","President","L&M Ventures,"Inc."","2016","CEO","n/a"
"Commercial Bancgroup,"Inc."","President & Director","Terry L. Lee","Chief Manager","Green Hills Properties,"Inc."","2016","CEO","n/a"
"Commercial Bancgroup,"Inc."","President & Director","Terry L. Lee","President & CEO","Cumberland Ford Motors,"Inc."","2016","CEO","n/a"
"Commercial Bancgroup,"Inc."","President & Director","Terry L. Lee","Partner","C&L Highwall Mining","2016","CEO","n/a"
"Commercial Bancgroup,"Inc."","President & Director","Terry L. Lee","Chief Manager","Hi-Wall Mining,"LLC"","2016","CEO","n/a"
"Commercial Bancgroup,"Inc."","President & Director","Terry L. Lee","Member","Cumberland Gap Ventures,"LLC"","2016","CEO","n/a"
"Commercial Bancgroup,"Inc."","President & Director","Terry L. Lee","President","Madison County Ford,"Inc."","2016","CEO","n/a"
"Commercial Bancgroup,"Inc."","President & Director","Terry L. Lee","Chairman & CEO","Heartland,"Inc."","2016","CEO","n/a"
"Commercial Bancgroup,"Inc."","President & Director","Terry L. Lee","President & CEO","LC&C Energy,"Inc."","2016","CEO","n/a"
"Commercial Bancgroup,"Inc."","President & Director","Terry L. Lee","Member","Cumberland Automotive Group,"LLC"","2016","CEO","n/a"
"Commercial Bancgroup,"Inc."","President & Director","Terry L. Lee","Member","Green Hills Funeral Home","2016","CEO","n/a"
"Commercial Bancgroup,"Inc."","President & Director","Terry L. Lee","President","Diversified Companies,"Inc."","2016","CEO","n/a"
```
