```text
### SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"Sequatchie County Bancorp,"Inc."","Dunlap,"Tennessee"","2014","David F. Barker","n/a","38","0.15%","1134751"
"Sequatchie County Bancorp,"Inc."","Dunlap,"Tennessee"","2014","Dorris B. Birchett","n/a","1883","7.27%","1134751"
"Sequatchie County Bancorp,"Inc."","Dunlap,"Tennessee"","2014","Jane Britt Brown","n/a","1600","6.18%","1134751"
### INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"Sequatchie County Bancorp,"Inc."","Director/ Chairman","Wendell A. Spicer","Partner","Timberwood Dev. Co","2014","Retired","714437"
"Sequatchie County Bancorp,"Inc."","Director/ Vice-President","Wendell A. Billingsley","n/a","n/a","2014","Banker","714437"
"Sequatchie County Bancorp,"Inc."","Director","W. Randolph Allen","Owner","Sequatchie Valley Eye Care","2014","Optometrist","714437"
"Sequatchie County Bancorp,"Inc."","Director","Stephen T. Greer","Owner","Stephen T. Greer,"PC"","2014","Attorney","714437"
"Sequatchie County Bancorp,"Inc."","Director","Stephen T. Greer","Partner","Timberwood Dev. Co","2014","Attorney","714437"
"Sequatchie County Bancorp,"Inc."","Director","Stephen T. Greer","Partner","Hamilton - Sequatchie Partners","2014","Attorney","714437"
"Sequatchie County Bancorp,"Inc."","Director","C. Gene Hixson","n/a","n/a","2014","Retired","714437"
"Sequatchie County Bancorp,"Inc."","Director","Lynn Johnson","Partner","The Victor Johnson Farm","2014","USDA","714437"
"Sequatchie County Bancorp,"Inc."","Director","James W. Kelly","n/a","n/a","2014","Real Estate Agent","714437"
"Sequatchie County Bancorp,"Inc."","Director","William L. Kelly","n/a","n/a","2014","Real Estate Agent","714437"
"Sequatchie County Bancorp,"Inc."","Vice-President","Marvin L. Price","n/a","n/a","2014","Banker","714437"
"Sequatchie County Bancorp,"Inc."","Secretary","Gayla A. Harmon","n/a","n/a","2014","Banker","714437"
```
