```csv
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"Sevier County Bancshares,"Inc."","Sevierville,"TN"","2016","S & K Partnership","Common Stock - Class A","94752","6.45%","n/a"
"Sevier County Bancshares,"Inc."","Sevierville,"TN"","2016","Summitt Family Investments LP","Common Stock - Class A","169736","11.56%","n/a"
"Sevier County Bancshares,"Inc."","Sevierville,"TN"","2016","Spence Limited I,"LP"","n/a","36106","n/a","n/a"
"Sevier County Bancshares,"Inc."","Sevierville,"TN"","2016","Spence Limited II,"LP"","Common Stock - Class A","108319","9.84%","n/a"
"Sevier County Bancshares,"Inc."","Sevierville,"TN"","2016","BancFunds VIII,"LP"","Common Stock - Class A","55000","7.49%","n/a"
"Sevier County Bancshares,"Inc."","Sevierville,"TN"","2016","BancFunds IX,"LP"","Common Stock - Class A","55000","7.49%","n/a"
"Sevier County Bancshares,"Inc."","Sevierville,"TN"","2016","Blalock family","Common Stock - Class A","76440","5.21%","n/a"
"Sevier County Bancshares,"Inc."","Sevierville,"TN"","2016","Richard Jacinto,"II held in IRA"","Common Stock - Class A","95000","6.47%","n/a"
```
```csv
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"Sevier County Bancshares,"Inc."","Corporate Secretary","Cindy Latham","n/a","n/a","2016","Executive Asst.","n/a"
"Sevier County Bancshares,"Inc."","President & CEO / Director","Matthew A. R. Converse","n/a","n/a","2016","Banker","n/a"
"Sevier County Bancshares,"Inc."","Director","Lyle Overbay","n/a","Overbay Family Partnership","2016","Retired Insurance Agent","n/a"
"Sevier County Bancshares,"Inc."","Director","Joe Jim Summitt","n/a","S & K Partnership","2016","Banker","n/a"
"Sevier County Bancshares,"Inc."","Director","Joe Jim Summitt","n/a","Summitt Family Investments","2016","Banker","n/a"
"Sevier County Bancshares,"Inc."","n/a","Estate of Ross B. Summitt","n/a","Summitt Corp.","2016","n/a","n/a"
"Sevier County Bancshares,"Inc."","n/a","R.B. Summitt II","n/a","S & K Partnership","2016","Retired Banker","n/a"
"Sevier County Bancshares,"Inc."","n/a","R.B. Summitt II","n/a","Summitt Family Investments","2016","Retired Banker","n/a"
"Sevier County Bancshares,"Inc."","Director & Chair","James Temple Jr.","n/a","Sevier County","2016","Engineer","n/a"
"Sevier County Bancshares,"Inc."","Director & Chair","James Temple Jr.","n/a","James A Temple Sr. FLP","2016","Engineer","n/a"
"Sevier County Bancshares,"Inc."","Director & Chair","James Temple Jr.","n/a","John E Temple Trust","2016","Engineer","n/a"
"Sevier County Bancshares,"Inc."","Principal Shareholder","S & K Partnership","n/a","n/a","2016","N/A","n/a"
"Sevier County Bancshares,"Inc."","Principal Shareholder","Summitt Family Investments LP","n/a","n/a","2016","N/A","n/a"
"Sevier County Bancshares,"Inc."","Director","Maria Mize Roditis","n/a","MMR Properties LLC","2016","Investor","n/a"
"Sevier County Bancshares,"Inc."","Director","Conley T. Murrell","n/a","Murrell Investments LLC","2016","Real Estate Development","n/a"
"Sevier County Bancshares,"Inc."","Director","Conley T. Murrell","n/a","Murrell Investment GP","2016","Real Estate Development","n/a"
"Sevier County Bancshares,"Inc."","Director","Conley T. Murrell","n/a","Murrell Properties GP","2016","Real Estate Development","n/a"
"Sevier County Bancshares,"Inc."","Director","Conley T. Murrell","n/a","Murrell Properties LLC","2016","Real Estate Development","n/a"
"Sevier County Bancshares,"Inc."","Director","Carolyn Fairbank","n/a","K.A.B. Family Trust","2016","Hospitality & Retail Executive","n/a"
"Sevier County Bancshares,"Inc."","Director","Carolyn Fairbank","n/a","B,"B","R LLC"","2016","Hospitality & Retail Executive","n/a"
"Sevier County Bancshares,"Inc."","Treasurer","Bobby R. Stoffle","n/a","n/a","2016","CPA","n/a"
"Sevier County Bancshares,"Inc."","EVP","Charles H. Atchley,"Jr."","n/a","n/a","2016","Banker","n/a"
"Sevier County Bancshares,"Inc."","EVP","D. Clay Harris","n/a","n/a","2016","Banker","n/a"
"Sevier County Bancshares,"Inc."","Director","Gary R. Wade","n/a","Riverdale Apartments","2016","TN Supreme Court Chief Justice - retired","n/a"
"Sevier County Bancshares,"Inc."","Director","Gary R. Wade","n/a","Kelco,"Ltd."","2016","TN Supreme Court Chief Justice - retired","n/a"
"Sevier County Bancshares,"Inc."","Director","Gary R. Wade","n/a","Parkgrove,"L.P."","2016","TN Supreme Court Chief Justice - retired","n/a"
"Sevier County Bancshares,"Inc."","Director","Gary R. Wade","n/a","Applecat,"L.P."","2016","TN Supreme Court Chief Justice - retired","n/a"
"Sevier County Bancshares,"Inc."","Director","Gary R. Wade","n/a","Panapple,"L.P."","2016","TN Supreme Court Chief Justice - retired","n/a"
"Sevier County Bancshares,"Inc."","Director","Gary R. Wade","n/a","Willow River,"LLC"","2016","TN Supreme Court Chief Justice - retired","n/a"
"Sevier County Bancshares,"Inc."","Director","Gary R. Wade","n/a","Roosevelt Lodge","2016","TN Supreme Court Chief Justice - retired","n/a"
"Sevier County Bancshares,"Inc."","Director","Gary R. Wade","n/a","Greenbrier Investments,"LLC"","2016","TN Supreme Court Chief Justice - retired","n/a"
```
