```text
### SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"SNB Holdings,"Inc."","Dothan,"Alabama"","2021","Hope H. Johnson","Common Stock","529","87.87%","n/a"
"SNB Holdings,"Inc."","Dothan,"Alabama"","2021","Judson Brooks","n/a","n/a","0.33%","n/a"
"SNB Holdings,"Inc."","Dothan,"Alabama"","2021","Joe Dalton","n/a","n/a","0.83%","n/a"
"SNB Holdings,"Inc."","Dothan,"Alabama"","2021","Paul Hufham","n/a","n/a","1.66%","n/a"
"SNB Holdings,"Inc."","Dothan,"Alabama"","2021","Joseph Johnson","n/a","n/a","2.99%","n/a"
"SNB Holdings,"Inc."","Dothan,"Alabama"","2021","Steve Bancroft","n/a","n/a","0.33%","n/a"
"SNB Holdings,"Inc."","Dothan,"Alabama"","2021","Charlie Breedlove","n/a","n/a","n/a","n/a"
### INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"SNB Holdings,"Inc."","Director & Chairman","Hope H. Johnson","Trustee","Malone Trusts","2021","n/a","n/a"
"SNB Holdings,"Inc."","Director","Judson Brooks","n/a","n/a","2021","n/a","n/a"
"SNB Holdings,"Inc."","Director & Vice Chairman","Joe Dalton","President","Dalton Drug Co,"Inc."","2021","Director of Pharmacy,"Flowers Hospital"","n/a"
"SNB Holdings,"Inc."","Director & Vice Chairman","Joe Dalton","President","Dalton Properties,"LLC"","2021","Director of Pharmacy,"Flowers Hospital"","n/a"
"SNB Holdings,"Inc."","Director & Vice Chairman","Joe Dalton","President","Abbeville Pharmacy LLC","2021","Director of Pharmacy,"Flowers Hospital"","n/a"
"SNB Holdings,"Inc."","Director & Vice Chairman","Joe Dalton","President","Hartford Pharmacy LLC","2021","Director of Pharmacy,"Flowers Hospital"","n/a"
"SNB Holdings,"Inc."","Director & Vice Chairman","Joe Dalton","President","Troy Pharmacy LLC","2021","Director of Pharmacy,"Flowers Hospital"","n/a"
"SNB Holdings,"Inc."","Director & Vice Chairman","Joe Dalton","President","Dadeville Pharmacy LLC","2021","Director of Pharmacy,"Flowers Hospital"","n/a"
"SNB Holdings,"Inc."","Director & Vice Chairman","Joe Dalton","President","Opp Pharmacy LLC","2021","Director of Pharmacy,"Flowers Hospital"","n/a"
"SNB Holdings,"Inc."","Director","Paul Hufham","Partner","Double Springs Pharmacy LLC","2021","Dentist-Retired","n/a"
"SNB Holdings,"Inc."","Director & Secretary/ Treasurer","Joseph Johnson","n/a","n/a","2021","n/a","n/a"
"SNB Holdings,"Inc."","Director","Steve Bancroft","Financial Manager:","Acre LLC","2021","Retired","n/a"
"SNB Holdings,"Inc."","Director","Steve Bancroft","Financial Manager:","Acre Properties LLC","2021","Retired","n/a"
"SNB Holdings,"Inc."","Director","Steve Bancroft","Financial Manager:","Little Acre Properties LLC","2021","Retired","n/a"
"SNB Holdings,"Inc."","Director","Steve Bancroft","Financial Manager:","Kennedy Family LLC","2021","Retired","n/a"
"SNB Holdings,"Inc."","Director","Steve Bancroft","Financial Manager:","Bow & Arrow BBQ LLC","2021","Retired","n/a"
"SNB Holdings,"Inc."","n/a","Charlie Breedlove","n/a","n/a","2021","n/a","n/a"
```
