```csv
### SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"Soperton Bancshares,"Inc."","Ocala,"Florida"","2020","Margaret Lois G. Clardy","Common Stock","7417","12.68%","n/a"
"Soperton Bancshares,"Inc."","Soperton,"Georgia"","2020","Hugh Gillis,"Jr."","Common Stock","6448","11.02%","n/a"
"Soperton Bancshares,"Inc."","Soperton,"Georgia"","2020","Richard M. Dennard","Common Stock","5179","8.85%","n/a"
"Soperton Bancshares,"Inc."","Adel,"Georgia"","2020","Jeanmarie G. Harris","Common Stock","5024","8.59%","n/a"
"Soperton Bancshares,"Inc."","Dublin,"Georgia"","2020","Donald W. Gillis","Common Stock","4914","8.40%","n/a"
"Soperton Bancshares,"Inc."","Soperton,"Georgia"","2020","Mary Felton Shaffran","Common Stock","2971","5.08%","n/a"
"Soperton Bancshares,"Inc."","Soperton,"Georgia"","2020","Laura Felton Trimble","Common Stock","2971","5.08%","n/a"
"Soperton Bancshares,"Inc."","Soperton,"Georgia"","2020","Kate Felton","Common Stock","5941","10.15%","n/a"
```
```csv
### INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"Soperton Bancshares,"Inc."","Chairman of the Board","Richard M. Dennard","Owner","Dennard Drugs & Jewelry","2020","Pharmacist","n/a"
"Soperton Bancshares,"Inc."","Chairman of the Board","Richard M. Dennard","Owner","Dennard True Value Hardware","2020","Pharmacist","n/a"
"Soperton Bancshares,"Inc."","Director/Secretary","Donald W. Gillis","Partner","Nelson,"Gillis & Thomas","LLC"","2020","Judge","n/a"
"Soperton Bancshares,"Inc."","Director/President","Chandler Maurice Beasley,"III"","n/a","n/a","2020","Bank President,"CEO & Director"","n/a"
"Soperton Bancshares,"Inc."","Director","James Mark Burns","n/a","n/a","2020","Retired","n/a"
"Soperton Bancshares,"Inc."","Director","David Roberts","Owner","Chick-fil-a of Dublin","2020","Businessman","n/a"
"Soperton Bancshares,"Inc."","Director","Margaret Lois G. Clardy","n/a","n/a","2020","Retired","n/a"
"Soperton Bancshares,"Inc."","Director","Dennis H. Ingley","Partner","Ingley Roper Moore & Co. LLC","2020","Accountant","n/a"
"Soperton Bancshares,"Inc."","Director","Stewart Ashley Hamilton","Partner","HAMUND Investment LLC","2020","Dentist","n/a"
"Soperton Bancshares,"Inc."","Director","Stewart Ashley Hamilton","Partner","Dental Center of Vidalia","2020","Dentist","n/a"
"Soperton Bancshares,"Inc."","Director","Stewart Ashley Hamilton","Partner","Dental Center of Baxley","2020","Dentist","n/a"
"Soperton Bancshares,"Inc."","Director","Stewart Ashley Hamilton","Partner","Dental Center of St Simons","2020","Dentist","n/a"
"Soperton Bancshares,"Inc."","Director","Stewart Ashley Hamilton","Partner","Dental Center of Ga","2020","Dentist","n/a"
"Soperton Bancshares,"Inc."","Director","Stewart Ashley Hamilton","Partner","KMH Landholdings LLC","2020","Dentist","n/a"
"Soperton Bancshares,"Inc."","Director","Stewart Ashley Hamilton","Owner","Stewart Ashley Hamilton DMD PC","2020","Dentist","n/a"
"Soperton Bancshares,"Inc."","Principal Shareholder","Hugh Gillis,"Jr."","Partner","Gillis Ag & Timber","2020","Businessman","n/a"
"Soperton Bancshares,"Inc."","Principal Shareholder","Jeanmarie G. Harris","n/a","n/a","2020","Retired","n/a"
```
