```text
### SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"SOUTHEASTERN BANKING CORPORATION","Crescent,"GA"","2016","Alyson G. Beasley","common stock","823319","25.94%","n/a"
"SOUTHEASTERN BANKING CORPORATION","St. Simons Island,"GA"","2016","William Downey","common stock","182514","5.75%","n/a"
### INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"SOUTHEASTERN BANKING CORPORATION","Executive Vice President and Director","Alyson G. Beasley","n/a","n/a","2016","N/A","n/a"
"SOUTHEASTERN BANKING CORPORATION","Director","Albert P. Downey","Vice President","Golden Isles Realty Company","2016","Realtor","n/a"
"SOUTHEASTERN BANKING CORPORATION","n/a","William Downey","Secretary","Wymberly Development Company,"Inc."","2016","Retired","n/a"
"SOUTHEASTERN BANKING CORPORATION","n/a","William Downey","General Partner","DMP Partnership","2016","Retired","n/a"
"SOUTHEASTERN BANKING CORPORATION","n/a","William Downey","Manager","Downey Company,"LLC"","2016","Retired","n/a"
"SOUTHEASTERN BANKING CORPORATION","n/a","William Downey","General Partner","Downey Family Limited Partnership","2016","Retired","n/a"
"SOUTHEASTERN BANKING CORPORATION","Director","S. Michael Hardy","n/a","n/a","2016","Retired Sales and Marketing Executive","n/a"
"SOUTHEASTERN BANKING CORPORATION","President and Chief Executive Officer,"Director"","Cornelius P. Holland,"III"","n/a","n/a","2016","N/A","n/a"
"SOUTHEASTERN BANKING CORPORATION","Director","Alva J. Hopkins,"III"","President and Director","Toledo Manufacturing Company","2016","Timber Land Management","n/a"
"SOUTHEASTERN BANKING CORPORATION","Director","Alva J. Hopkins,"III"","Secretary,"Treasurer and Director"","Gowen Timber Company,"Inc."","2016","Timber Land Management","n/a"
"SOUTHEASTERN BANKING CORPORATION","Director","Alva J. Hopkins,"III"","Director","Hopkins-Gowen Oil Company","2016","Timber Land Management","n/a"
"SOUTHEASTERN BANKING CORPORATION","Director","Alva J. Hopkins,"III"","Vice President","GTHD","2016","Timber Land Management","n/a"
"SOUTHEASTERN BANKING CORPORATION","Director","Alva J. Hopkins,"III"","Secretary,"Treasurer and Director"","Uptrend,"Inc."","2016","Timber Land Management","n/a"
"SOUTHEASTERN BANKING CORPORATION","Director","Alva J. Hopkins,"III"","President","Forest Landowners Association","2016","Timber Land Management","n/a"
"SOUTHEASTERN BANKING CORPORATION","None","John C. Houser","n/a","n/a","2016","N/A","n/a"
"SOUTHEASTERN BANKING CORPORATION","Director","Craig Root","President","Vista Outdoor Corp. D/B/A Vista Outdoor Advertising","2016","Outdoor Advertising","n/a"
"SOUTHEASTERN BANKING CORPORATION","Director","Craig Root","President","Satilla Planning,"Inc."","2016","Outdoor Advertising","n/a"
"SOUTHEASTERN BANKING CORPORATION","Director","Craig Root","Secretary-Treasurer","Satilla Business Services,"Inc."","2016","Outdoor Advertising","n/a"
"SOUTHEASTERN BANKING CORPORATION","Treasurer","Donald J. Torbert,"Jr."","n/a","n/a","2016","N/A","n/a"
```
