Here are the requested CSV tables extracted from the document:
```csv
### SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"Southern Bankshares,"Inc."","Statesboro,"GA"","2019","R.A. Dixon Estate","n/a","44122","65.37%","n/a"
"Southern Bankshares,"Inc."","Claxton,"GA"","2019","George W. Strickland Jr. Foundation,"Inc."","n/a","4700","6.96%","n/a"
```
```csv
### INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"Southern Bankshares,"Inc."","Director","C Wayne Collins","n/a","Donald Fountain/ C Wayne Collins Partnership","2019","Retired","n/a"
"Southern Bankshares,"Inc."","Director","Emmett O Daniel","President","Daniel Inc","2019","President Daniel,"Inc."","n/a"
"Southern Bankshares,"Inc."","Director","Middleton A Parker","Vice President","Claxton Bakery Inc","2019","Vice President Claxton Bakery Inc","n/a"
"Southern Bankshares,"Inc."","Director","Middleton A Parker","Vice President","ADMP Enterprises Inc","2019","Vice President Claxton Bakery Inc","n/a"
"Southern Bankshares,"Inc."","Director","Paul E Parker","Vice President","Claxton Bakery,"Inc"","2019","Vice President Claxton Bakery Inc","n/a"
"Southern Bankshares,"Inc."","Director","Paul E Parker","Vice President","ADMP Enterprises Inc","2019","Vice President Claxton Bakery Inc","n/a"
"Southern Bankshares,"Inc."","Director","William Dale Parker","Vice President","Claxton Bakery,"Inc"","2019","Vice President Claxton Bakery Inc","n/a"
"Southern Bankshares,"Inc."","Director","William Dale Parker","Vice President","ADMP Enterprises,"Inc"","2019","Vice President Claxton Bakery Inc","n/a"
"Southern Bankshares,"Inc."","Director","Keith E Miller","Pres-Canoochee Vet Assn","Keith E. Miller DVM P.C.","2019","President Keith E. Miller DVM P.C.","n/a"
"Southern Bankshares,"Inc."","Director","Keith E Miller","Sec-Treas-MBM-DBA","Canoochee Veterinary Assoc","2019","President Keith E. Miller DVM P.C.","n/a"
"Southern Bankshares,"Inc."","Director","Keith E Miller","Sec-Treas-MBM-DBA","MBM-DBA Claxton Hardware","2019","President Keith E. Miller DVM P.C.","n/a"
"Southern Bankshares,"Inc."","Director","Jerry Lane","n/a","n/a","2019","President N W Fries Inc","n/a"
"Southern Bankshares,"Inc."","Director","Tommy Strickland","Partner,"President Satilla Mining Inc. VP VP"","Satilla Mining Inc.","2019","Chairman of the Board Evans Concrete,"LLC"","n/a"
"Southern Bankshares,"Inc."","Director","Tommy Strickland","Partner,"President Satilla Mining Inc. VP VP"","Evans Mngmt Holding Inc","2019","Chairman of the Board Evans Concrete,"LLC"","n/a"
"Southern Bankshares,"Inc."","Director","Tommy Strickland","Partner,"President Satilla Mining Inc. VP VP"","Evans T & T Investments","2019","Chairman of the Board Evans Concrete,"LLC"","n/a"
"Southern Bankshares,"Inc."","Director","Tommy Strickland","Partner,"President Satilla Mining Inc. VP VP"","Vidalia Sweet Rides","2019","Chairman of the Board Evans Concrete,"LLC"","n/a"
"Southern Bankshares,"Inc."","Director","Tommy Strickland","Partner,"President Satilla Mining Inc. VP VP"","Onion City Storage","2019","Chairman of the Board Evans Concrete,"LLC"","n/a"
"Southern Bankshares,"Inc."","CEO","Philip Williams","n/a","n/a","2019","President Director The Claxton Bank","n/a"
"Southern Bankshares,"Inc."","n/a","Daryl R. Dixon","n/a","n/a","2019","None","n/a"
"Southern Bankshares,"Inc."","Director","Russ Lanier","CPA","Lanier,"Deal","& Proctor"","2019","CPA","n/a"
"Southern Bankshares,"Inc."","Director","Russ Lanier","CPA","Ash Brick,"LLC"","2019","CPA","n/a"
"Southern Bankshares,"Inc."","Director","Russ Lanier","CPA","The Dark Desert Highway Bank,"LLC"","2019","CPA","n/a"
"Southern Bankshares,"Inc."","Director","Russ Lanier","CPA","The Dream Team Band,"LLC"","2019","CPA","n/a"
"Southern Bankshares,"Inc."","Director","Russ Lanier","CPA","Beautiful Meadows Creations,"LLC"","2019","CPA","n/a"
```
