"Here are the two CSV tables","as requested:"
```csv
### SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"Southwest Security,"Inc."","Natchez,"MS"","2017","James. Biglane 2015 Irrev. Trust","Common Stock Shares","28292","22.69%","n/a"
"Southwest Security,"Inc."","Natchez,"MS"","2017","Nancy K. Biglane 2016 Irrev. Trust","Common Stock Shares","26253","21.05%","n/a"
"Southwest Security,"Inc."","Natchez,"MS"","2017","Southwest Security,"Inc. ESOP"","Common Stock Shares","14367","11.52%","n/a"
"Southwest Security,"Inc."","Natchez,"MS"","2017","Denton B. Biglane 2011 Trust","Common Stock Shares","13450","10.79%","n/a"
"Southwest Security,"Inc."","Natchez,"MS"","2017","H. I. Stahlman","Common Stock Shares","11679","9.37%","n/a"
```
```csv
### INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"Southwest Security,"Inc."","Principal Shareholder","Nancy K Biglane,"Trustee"","Director & VP/Treasurer","Biglane Operating","2017","n/a","n/a"
"Southwest Security,"Inc."","Principal Shareholder","Nancy K Biglane,"Trustee"","Director & VP/Treasurer","Mike Oil Company","2017","n/a","n/a"
"Southwest Security,"Inc."","Principal Shareholder","Nancy K Biglane,"Trustee"","Director/Secretary/Treasurer","Scotland Plantation","2017","n/a","n/a"
"Southwest Security,"Inc."","Principal Shareholder","Nancy K Biglane,"Trustee"","Director & VP/Treasurer","Silverland,"Inc."","2017","n/a","n/a"
"Southwest Security,"Inc."","Principal Shareholder","Nancy K Biglane,"Trustee"","Director & VP/Treasurer","D. A. Biglane Foundation","2017","n/a","n/a"
"Southwest Security,"Inc."","Principal Shareholder","Nancy K Biglane,"Trustee"","Director & Secretary","Cowpen Point Pipeline,"Inc."","2017","n/a","n/a"
"Southwest Security,"Inc."","Director & President","James M Biglane,"Trustee & Co-Trustee"","Director,"President & Treas"","Mike Oil Company","2017","Banker","n/a"
"Southwest Security,"Inc."","Director & President","James M Biglane,"Trustee & Co-Trustee"","Director & President","Biglane Operating","2017","Banker","n/a"
"Southwest Security,"Inc."","Director & President","James M Biglane,"Trustee & Co-Trustee"","Director & President","Scotland Plantation","2017","Banker","n/a"
"Southwest Security,"Inc."","Director & President","James M Biglane,"Trustee & Co-Trustee"","Director & President","Silver Land Inc.","2017","Banker","n/a"
"Southwest Security,"Inc."","Director & President","James M Biglane,"Trustee & Co-Trustee"","Director & President","D. A. Biglane Foundation","2017","Banker","n/a"
"Southwest Security,"Inc."","Director & President","James M Biglane,"Trustee & Co-Trustee"","Partner","Biglane Investments,"LP"","2017","Banker","n/a"
"Southwest Security,"Inc."","Director & President","James M Biglane,"Trustee & Co-Trustee"","Manager","JMB Management,"LLC"","2017","Banker","n/a"
"Southwest Security,"Inc."","Director & President","James M Biglane,"Trustee & Co-Trustee"","President & Director","Cowpen Point Pipeline,"Inc."","2017","Banker","n/a"
"Southwest Security,"Inc."","Director & President","James M Biglane,"Trustee & Co-Trustee"","Manager","Biglane Leasing Co.,"LLP"","2017","Banker","n/a"
"Southwest Security,"Inc."","Director & President","James M Biglane,"Trustee & Co-Trustee"","Manager","BLC Management,"LLC"","2017","Banker","n/a"
"Southwest Security,"Inc."","Director & President","James M Biglane,"Trustee & Co-Trustee"","Manager","The Whiskey Bldg. Guesthouse,"LLC"","2017","Banker","n/a"
"Southwest Security,"Inc."","Director & President","James M Biglane,"Trustee & Co-Trustee"","Manager","The Whiskey Bldg,"LLC"","2017","Banker","n/a"
"Southwest Security,"Inc."","N/A","Southwest Security,"Inc. ESOP"","N/A","n/a","2017","N/A","n/a"
"Southwest Security,"Inc."","Director","H. I. Stahlman,"III"","Partner","Stahlman Properties,"Ltd."","2017","Investments and Real Estate","n/a"
"Southwest Security,"Inc."","Director","H. I. Stahlman,"III"","Partner & Managing Member","HIS Investments,"LLC"","2017","Investments and Real Estate","n/a"
"Southwest Security,"Inc."","Director","H. I. Stahlman,"III"","Managing Member","Stahlman Owners,"LLC"","2017","Investments and Real Estate","n/a"
"Southwest Security,"Inc."","Director","H. I. Stahlman,"III"","Manager","Riverview RV Park,"LLC"","2017","Investments and Real Estate","n/a"
"Southwest Security,"Inc."","Director","H. I. Stahlman,"III"","Trustee","Blue Sky Opportunities,"LLC"","2017","Investments and Real Estate","n/a"
"Southwest Security,"Inc."","Director","H. I. Stahlman,"III"","Managing Member","Stahlman Management Services,"LLC"","2017","Investments and Real Estate","n/a"
"Southwest Security,"Inc."","Director","Bruce M. Kuehnle,"Jr. Individual Trustee of Lara N Biglane a minor & James William Biglane a minor"","Manager","Law Practice","2017","Attorney","n/a"
"Southwest Security,"Inc."","Director","Bruce M. Kuehnle,"Jr. Individual Trustee of Lara N Biglane a minor & James William Biglane a minor"","Manager","Lucid Interval,"LLC"","2017","Attorney","n/a"
"Southwest Security,"Inc."","Director","Bruce M. Kuehnle,"Jr. Individual Trustee of Lara N Biglane a minor & James William Biglane a minor"","Manager","Jalfred,"LLC"","2017","Attorney","n/a"
"Southwest Security,"Inc."","Secretary/Treasury","H. Adrian Sandel","Chief Executive Officer","n/a","2017","n/a","n/a"
"Southwest Security,"Inc."","Director / CEO","Lauren Biglane Middleton","Chief Financial Officer","n/a","2017","n/a","n/a"
```
