```csv
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"Summit Financial Enterprises,"Inc."","Panama City,"FL"","2017","Andrew W. Stein","Common Stock","162713","4.67%","n/a"
"Summit Financial Enterprises,"Inc."","Panama City,"FL"","2017","Andrew W. Stein","Options to buy Common Stock","34087","0.98%","n/a"
"Summit Financial Enterprises,"Inc."","Panama City,"FL"","2017","n/a","n/a","n/a","n/a","n/a"
```
```csv
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"Summit Financial Enterprises,"Inc."","Director,"President & Chief Executive Officer"","Andrew W. Stein","Director","Gulf Management,"LLC"","2017","n/a","n/a"
"Summit Financial Enterprises,"Inc."","Director,"President & Chief Executive Officer"","Andrew W. Stein","Director","Shipwreck Golf,"LLC"","2017","n/a","n/a"
"Summit Financial Enterprises,"Inc."","Executive Vice President & Chief Financial Officer","Barbara L. Haag","n/a","n/a","2017","n/a","n/a"
"Summit Financial Enterprises,"Inc."","Executive Vice President & Chief Opearting Officer","Frank A. Hall","n/a","n/a","2017","n/a","n/a"
"Summit Financial Enterprises,"Inc."","Executive Vice President & Chief Credit Officer","James R. Looker","n/a","n/a","2017","n/a","n/a"
"Summit Financial Enterprises,"Inc."","Director & Chairman","Dr. Neal P. Dunn","Director","Dunn Properties LLC","2017","U.S. Congressman","n/a"
"Summit Financial Enterprises,"Inc."","Director & Chairman","Dr. Neal P. Dunn","Director","DEP,"LLC"","2017","U.S. Congressman","n/a"
"Summit Financial Enterprises,"Inc."","Director & Chairman","Dr. Neal P. Dunn","Director","Gulf Management,"LLC"","2017","U.S. Congressman","n/a"
"Summit Financial Enterprises,"Inc."","Director & Chairman","Dr. Neal P. Dunn","Director","DSI,"LLC"","2017","U.S. Congressman","n/a"
"Summit Financial Enterprises,"Inc."","Director & Chairman","Dr. Neal P. Dunn","Director","Gulf Resources,"LLC"","2017","U.S. Congressman","n/a"
"Summit Financial Enterprises,"Inc."","Director & Chairman","Dr. Neal P. Dunn","Director","West PCB Holdings,"LLC"","2017","U.S. Congressman","n/a"
"Summit Financial Enterprises,"Inc."","Director & Vice Chairman","Tommy M. Cooley","Director","Cooley Management,"LLC"","2017","Owner Cooley Management Co.,"(real estate management)"","n/a"
