```csv
### SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"Sunset Bancorp,"Inc."","Lafayette,"LA"","2017","Jeffery L. David. Jr.","n/a","30012","5.01%","2376727"
"Sunset Bancorp,"Inc."","Sunset,"LA"","2017","Dr. J. Charles Dugal","n/a","31737","5.30%","2376727"
```
```csv
### INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"Bank of Sunset & Trust Co.","Director","Paul A. Dakin","n/a","Dakin Companies,"LLC"","2017","Banker/In-house Counsel","2376727"
"Bank of Sunset & Trust Co.","Director and SVP","Paul A. Dakin","Member","Dakin Companies,"LLC"","2017","Banker/In-house Counsel","2376727"
"Bank of Sunset & Trust Co.","Director","Dr. J. Charles Dugal","n/a","J. Charles Dugal,"M.D.","APMC"","2017","Medical Doctor","2376727"
"Bank of Sunset & Trust Co.","Director of Bank of Sunset & Trust Company","Dr. J. Charles Dugal","President","J. Charles Dugal,"M.D.","APMC"","2017","Medical Doctor","2376727"
"Bank of Sunset & Trust Co.","Director","Robert E. Fruge","Member","Ballroom de Mil Neuf Cent Treize","2017","Attorney","2376727"
"Bank of Sunset & Trust Co.","Director","Robert E. Fruge","Member","Grand Coteau House","2017","Attorney","2376727"
"Bank of Sunset & Trust Co.","Director","Robert E. Fruge","Member","Abacus Banquets & Receptions","2017","Attorney","2376727"
"Bank of Sunset & Trust Co.","Director","Robert E. Fruge","Member","Lafayette Receptions & Catering","2017","Attorney","2376727"
"Bank of Sunset & Trust Co.","Director","Robert E. Fruge","Member","Wolff Banquet & Reception Hall","2017","Attorney","2376727"
"Bank of Sunset & Trust Co.","Director","Robert E. Fruge","Member","Grand Coteau House Ballroom","2017","Attorney","2376727"
"Bank of Sunset & Trust Co.","Director","Robert E. Fruge","Member","Grand Coteau Investments","2017","Attorney","2376727"
"Bank of Sunset & Trust Co.","Director","Robert E. Fruge","Member","Fruge Children Properties","2017","Attorney","2376727"
"Bank of Sunset & Trust Co.","Director","Robert E. Fruge","Director","Grand Coteau Cultural Foundation,"Inc."","2017","Attorney","2376727"
"Bank of Sunset & Trust Co.","Director","Larry Janise","n/a","n/a","2017","Retired","2376727"
"Bank of Sunset & Trust Co.","Director and SVP","H. Glenn Pitre","n/a","n/a","2017","Banker","2376727"
"Bank of Sunset & Trust Co.","Director","Cassidy L. Richard","Officer","Sunset Pharmacy,"Inc."","2017","Business Owner","2376727"
"Bank of Sunset & Trust Co.","Director","Cassidy L. Richard","Sec/Treas","Sunset Pharmacy,"Inc."","2017","Business Owner","2376727"
"Bank of Sunset & Trust Co.","Director","Cassidy L. Richard","Member","Workit Rentals,"LLC"","2017","Business Owner","2376727"
"Bank of Sunset & Trust Co.","Director","Cassidy L. Richard","Member","907 Napoleon Ave.,"LLC"","2017","Business Owner","2376727"
"Bank of Sunset & Trust Co.","Director","Cassidy L. Richard","Member","CCC Land Co.,"LLC"","2017","Business Owner","2376727"
"Bank of Sunset & Trust Co.","Director","Cassidy L. Richard","Member","Matcore,"LLC"","2017","Business Owner","2376727"
"Bank of Sunset & Trust Co.","Director","Cassidy L. Richard","Member","COCAS Group,"LLC"","2017","Business Owner","2376727"
"Bank of Sunset & Trust Co.","Director/President","K. Brent Vidrine","n/a","n/a","2017","Banker","2376727"
"Bank of Sunset","President/Chairman of the Board","K. Brent Vidrine","n/a","n/a","2017","Banker","2376727"
"Bank of Sunset","Vice President","P. Troy Courville","n/a","P. Troy Courville,"CPA-A Professional Corporation"","2017","Banker","2376727"
"Bank of Sunset","Senior Vice President & Cashier","P. Troy Courville","Owner","P. Troy Courville,"CPA-A Professional Corporation"","2017","Banker","2376727"
"Bank of Sunset","n/a","Marianne R. Montet","n/a","n/a","2017","Banker","2376727"
```
