```text
### SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"Synergy Bancshares,"Inc."","Houma,"LA"","2017","Terry C. Calongne","Common Stock","63044","6.74%","n/a"
"Synergy Bancshares,"Inc."","Houma,"LA"","2017","Michel H. Claudet","Common Stock","68326","7.31%","n/a"
"Synergy Bancshares,"Inc."","Houma,"LA"","2017","Jeffrey J. Scott","Common Stock","70127","7.50%","n/a"
"Synergy Bancshares,"Inc."","Houma,"LA"","2017","Frank Jeffrey Teuton","Common Stock","72193","7.72%","n/a"
### INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"Synergy Bancshares,"Inc."","Treasurer/ Chief Financial Officer","Benjamin D. Borne","n/a","n/a","2017","n/a","n/a"
"Synergy Bancshares,"Inc."","Director","Donald P. Callais","n/a","n/a","2017","Retired Insurance Executive","n/a"
"Synergy Bancshares,"Inc."","Vice Chairman of the Board","Terry C. Calongne","Secretary-Treasurer","Calongne Incorporated","2017","Real Estate Management","n/a"
"Synergy Bancshares,"Inc."","Vice Chairman of the Board","Terry C. Calongne","Secretary-Treasurer","General Contractors","2017","Real Estate Management","n/a"
"Synergy Bancshares,"Inc."","Director","Danniel B. Cannon","President & Chief Executive Officer","Arkos Field Services,"LP"","2017","Natural Gas Compression Service Company Executive","n/a"
"Synergy Bancshares,"Inc."","Director","Kerry J. Chauvin","n/a","n/a","2017","Business Consultant","n/a"
"Synergy Bancshares,"Inc."","Director","Michel H. Claudet","President","Michel H. Claudet,"APLC"","2017","Retired Terrebonne Parish President & Attorney","n/a"
"Synergy Bancshares,"Inc."","Director","Gordon E. Dove","Terrebonne Parish President","Terrebonne Parish President","2017","Terrebonne Parish President","n/a"
"Synergy Bancshares,"Inc."","Director","Gordon E. Dove","Terrebonne Parish President","Vacco,"Inc."","2017","Terrebonne Parish President","n/a"
"Synergy Bancshares,"Inc."","Director","Gordon E. Dove","Terrebonne Parish President","Vacco Marine,"Inc."","2017","Terrebonne Parish President","n/a"
"Synergy Bancshares,"Inc."","Director","Gordon E. Dove","Terrebonne Parish President","Dove & Dove,"Inc."","2017","Terrebonne Parish President","n/a"
"Synergy Bancshares,"Inc."","Chairman of the Board","Morris P. Hebert","President & Chairman","Morris P. Hebert,"Inc."","2017","Surveying and Engineering Company Executive","n/a"
"Synergy Bancshares,"Inc."","President,"Chief Executive Officer & Director"","Jerry P. Ledet,"Jr."","n/a","n/a","2017","n/a","n/a"
"Synergy Bancshares,"Inc."","Senior Vice President","Marie M. Morris,"CRCM"","n/a","n/a","2017","n/a","n/a"
"Synergy Bancshares,"Inc."","Director","Jeffery J. Scott","President","J&L Properties Inc","2017","Retired Seafood Consultant","n/a"
"Synergy Bancshares,"Inc."","Director","Jeffery J. Scott","President","J&M Rentals of Houma Inc","2017","Retired Seafood Consultant","n/a"
"Synergy Bancshares,"Inc."","Director","Frank Jeffrey Teuton","n/a","n/a","2017","Retired Automobile Dealer","n/a"
```
