```text
### SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"TAG Bancshares,"Inc."","Lookout Mtn,"TN"","2021","C. Lentz Reynolds,"Jr"","n/a","12553","14.16%","n/a"
"TAG Bancshares,"Inc."","Lookout Mtn.,"TN"","2021","Margaret Reynolds","n/a","12808","14.45%","n/a"
"TAG Bancshares,"Inc."","Trenton,"GA"","2021","Deloris Smyth","n/a","7367","8.31%","n/a"
"TAG Bancshares,"Inc."","Rising Fawn,"GA"","2021","Dennis Watson","n/a","4697","5.30%","n/a"
"TAG Bancshares,"Inc."","Chickamauga,"GA"","2021","Eva Suggs","n/a","5000","5.64%","n/a"
### INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"TAG Bancshares,"Inc."","Director","C. Lentz Reynolds,"Jr."","Director","Citizens Bank & Trust","2021","Retired Dentist","n/a"
"TAG Bancshares,"Inc."","Director","Margaret Reynolds","n/a","Citizens Bank & Trust","2021","Retired Business Woman","n/a"
"TAG Bancshares,"Inc."","Director","Deloris Smyth","n/a","Citizens Bank & Trust","2021","Retired Business Woman","n/a"
"TAG Bancshares,"Inc."","Director","Fred Stephens","n/a","Citizens Bank & Trust","2021","Retired Banker","n/a"
"TAG Bancshares,"Inc."","Director","Dennis Watson","n/a","Citizens Bank & Trust","2021","Attorney","n/a"
"TAG Bancshares,"Inc."","Director","C. Lentz Reynolds III","n/a","Citizens Bank & Trust","2021","Property Manager","n/a"
"TAG Bancshares,"Inc."","President","Chris R. Powell","President/CEO/Director","Citizens Bank & Trust","2021","Bank President","n/a"
"TAG Bancshares,"Inc."","Director","Karen Ingle","n/a","Citizens Bank & Trust","2021","Attorney","n/a"
```
