```text
### SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"Thomasville Bancshares,"Inc."","Thomasville,"GA"","2022","Stephen H. Cheney","Voting Securities","287444","4.75%","n/a"
"Thomasville Bancshares,"Inc."","Thomasville,"GA"","2022","Stephen H. Cheney","Restricted Stock Rights (Deferred Director Comp/Exec Stock Grant)","47607","14%","n/a"
"Thomasville Bancshares,"Inc."","Thomasville,"GA"","2022","Richard L. Singletary","Voting Securities","312844","5.17%","n/a"
"Thomasville Bancshares,"Inc."","Thomasville,"GA"","2022","Richard L. Singletary","Restricted Stock Rights (Deferred Director Compensation)","40364","11%","n/a"
### INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"Thomasville National Bank","Director","Charles A Balfour","President","Balfour Timber Company,"Inc."","2022","President,"Balfour Timber Co.","Inc."","n/a"
"Thomasville National Bank","Director","Charles A Balfour","President","Balfour Pole Company,"LLC"","2022","President,"Balfour Timber Co.","Inc."","n/a"
"Thomasville National Bank","Director","Charles A Balfour","Director","Balfour Land Company","2022","President,"Balfour Timber Co.","Inc."","n/a"
"Thomasville National Bank","Director","John Bannister","President","Bannister Electric Co.","2022","President","n/a"
"Thomasville National Bank","Director","John Bannister","President","K & L Land,"LLC"","2022","President","n/a"
"Thomasville National Bank","Director","John Bannister","President","Thomasville Service Center","2022","President","n/a"
"Thomasville National Bank","Director & EVP","Joel W. Barrett","EVP","n/a","2022","n/a","n/a"
"Thomasville National Bank","Director & CEO","Stephen H Cheney","Chairman & CEO","n/a","2022","n/a","n/a"
"Thomasville National Bank","Director","David A. Cone","President","Cone Machinery,"Inc."","2022","President","n/a"
"Thomasville National Bank","Director","David A. Cone","President","PDK Investments,"Inc."","2022","President","n/a"
"Thomasville National Bank","Director","David A. Cone","President","Sawdust Trail Investments,"LLC"","2022","President","n/a"
"Thomasville National Bank","Director","David A. Cone","President","Enoc Investments,"LLC"","2022","President","n/a"
"Thomasville National Bank","Director","Mills Herndon","Owner/Broker","First Thomasville Realty,"Inc."","2022","Owner/Broker","n/a"
"Thomasville National Bank","Partner","Mills Herndon","Partner","Cumbest Mill,"LLC"","2022","Owner/Broker","n/a"
"Thomasville National Bank","Partner","Mills Herndon","Partner","BLVD Acquisition,"LLC"","2022","Owner/Broker","n/a"
"Thomasville National Bank","Director & President","Charles H. Hodges,"III"","Director & EVP","n/a","2022","President","n/a"
"Thomasville National Bank","Director","Randall L. Moore","President","Moore & Porter Produce Brokers","2022","President","n/a"
"Thomasville National Bank","Director","Randall L. Moore","Co-Owner","Cottage Partners","2022","President","n/a"
"Thomasville National Bank","Director","Richard L Singletary,"Jr."","Developer/Investor","Tallahasse Homes,"LLC"","2022","Lead Independent Director","n/a"
"Thomasville National Bank","Director","Richard L Singletary,"Jr."","Developer/Investor","Manassas Homes,"LLC"","2022","Lead Independent Director","n/a"
"Thomasville National Bank","Director","Richard L Singletary,"Jr."","Developer/Investor","Tallahassee Homes Realty,"LLC"","2022","Lead Independent Director","n/a"
"Thomasville National Bank","Director","Richard L Singletary,"Jr."","Developer/Investor","Tallahassee Homes Residential,"LLC"","2022","Lead Independent Director","n/a"
"Thomasville National Bank","Director","Richard L Singletary,"Jr."","Developer/Investor","Dahlgren Homes,"LLC"","2022","Lead Independent Director","n/a"
"Thomasville National Bank","Director","Richard L Singletary,"Jr."","Developer/Investor","Oak Grove Hammock,"LLC"","2022","Lead Independent Director","n/a"
"Thomasville National Bank","Director","Nathaniel Abrams","President","Abrams Mobile Document Destruction","2022","President","n/a"
"Thomasville National Bank","Director","Haile McCollum","Owner/Manager","Fontaine Maury,"LLC"","2022","Owner/Manager","n/a"
"Thomasville National Bank","Director","Dale R. Powell,"Jr."","President/CEO","Senior Life Insurance Co.","2022","President - Senior Life Insurance Co.","n/a"
"Thomasville National Bank","Director","Dale R. Powell,"Jr."","President/CEO","P&P Associates,"Inc."","2022","President - Senior Life Insurance Co.","n/a"
"Thomasville National Bank","Director","Clay Sewell","Attorney","Glasgow Farms,"LP"","2022","Attorney","n/a"
"Thomasville National Bank","Director","Van Champion","President","Childers Construction Co.","2022","President","n/a"
"Thomasville National Bank","Director","Van Champion","President","CCH Construction,"Inc."","2022","President","n/a"
"Thomasville National Bank","EVP/CFO","Hollie W. Lloyd","CFO","n/a","2022","n/a","n/a"
```
