```csv
SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"Tri-Parish Bancshares,"Ltd"","n/a","2014","Mary Margaret McGlasson Francez","n/a","28760","n/a","n/a"
"Tri-Parish Bancshares,"Ltd"","Lafayette,"LA"","2014","Karen V. McGlasson Trust #1","n/a","20120","n/a","n/a"
"Tri-Parish Bancshares,"Ltd"","Lafayette,"LA"","2014","Karen V. McGlasson Trust #2","n/a","20120","n/a","n/a"
"Tri-Parish Bancshares,"Ltd"","Lafayette,"LA"","2014","Karen V. McGlasson Trust #2","Common Stock","69000","25.09%","n/a"
"Tri-Parish Bancshares,"Ltd"","Eunice,"LA"","2014","E. Warner Veillon","n/a","39000","n/a","n/a"
"Tri-Parish Bancshares,"Ltd"","Eunice,"LA"","2014","E. Warner Veillon","Separate Estate","27000","n/a","n/a"
"Tri-Parish Bancshares,"Ltd"","Eunice,"LA"","2014","E. Warner Veillon","Common Stock","66000","24.00%","n/a"
"Tri-Parish Bancshares,"Ltd"","Baton Rouge,"LA"","2014","Edward Warner Veillon,"Jr."","n/a","3000","n/a","n/a"
"Tri-Parish Bancshares,"Ltd"","Baton Rouge,"LA"","2014","The E Warner Veillon Family Trust","Common Stock","23000","9.45%","n/a"
```
```csv
INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"Tri-Parish Bancshares,"Ltd"","Director","Benjamin Dal Miller,"III"","Member","BDMiii Investments,"LLC"","2014","CPA","483032"
"Tri-Parish Bancshares,"Ltd"","Director","Benjamin Dal Miller,"III"","Member","Miller Rental Properties,"LLC"","2014","CPA","483032"
"Tri-Parish Bancshares,"Ltd"","Director","Benjamin Dal Miller,"III"","Member","Mallard Minerals,"LLC"","2014","CPA","483032"
"Tri-Parish Bancshares,"Ltd"","Director","Robert Francez","Owner","Jefferson Terrace Self-Storage,"LLC"","2014","Attorney","483032"
