```text
### SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"Trustmark Corporation","New York,"USA"","2018","BlackRock,"Inc."","common stock","9652497","14.55%","n/a"
"Trustmark Corporation","Malvern,"PA","USA"","2018","The Vanguard Group","common stock","6069644","9.15%","n/a"
"Trustmark Corporation","Jackson,"MS","USA"","2018","The Robert M. Hearin Foundation/The Robert M. Hearin Support Foundation","common stock","5558024","8.38%","n/a"
"Trustmark Corporation","Austin,"TX USA"","2018","Dimensional Fund Advisors LP","common stock","5475878","8.26%","n/a"
### INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"Trustmark Corporation","n/a","Adolphus B. Baker","Director","Cal-Maine Foods,"Inc."","2018","Producer and Distributor of Shell Eggs","342634"
"Trustmark Corporation","n/a","Adolphus B. Baker","Chairman of the Board and CEO","Cal-Maine Foods,"Inc."","2018","Producer and Distributor of Shell Eggs","342634"
"Trustmark Corporation","n/a","Adolphus B. Baker","Manager","ABD,"LLC"","2018","Producer and Distributor of Shell Eggs","342634"
"Trustmark Corporation","n/a","Adolphus B. Baker","Manager","D&D Baker,"LLC"","2018","Producer and Distributor of Shell Eggs","342634"
"Trustmark Corporation","n/a","Adolphus B. Baker","Director","Eggland's Best Inc.","2018","Producer and Distributor of Shell Eggs","342634"
"Trustmark Corporation","n/a","Adolphus B. Baker","Director","Eggland's Best,"LLC"","2018","Producer and Distributor of Shell Eggs","342634"
"Trustmark Corporation","n/a","Adolphus B. Baker","Member","DLNL,"LLC"","2018","Producer and Distributor of Shell Eggs","342634"
"Trustmark Corporation","n/a","William A. Brown","Director","All Brands Foods Company,"Inc."","2018","Beverage Distributor","342634"
"Trustmark Corporation","n/a","William A. Brown","President","All Brands Foods Company,"Inc."","2018","Beverage Distributor","342634"
"Trustmark Corporation","n/a","William A. Brown","Director and Chairman","All Brands Foods Company,"Inc."","2018","Beverage Distributor","342634"
"Trustmark Corporation","n/a","William A. Brown","President","Brown Bottling Group,"Inc."","2018","Beverage Distributor","342634"
"Trustmark Corporation","n/a","William A. Brown","CEO","Brown Bottling Group,"Inc."","2018","Beverage Distributor","342634"
"Trustmark Corporation","n/a","William A. Brown","Director and Chairman","Brown Bottling Group,"Inc."","2018","Beverage Distributor","342634"
"Trustmark Corporation","n/a","William A. Brown","Member and Manager","Brown Colony GP,"LLC"","2018","Beverage Distributor","342634"
"Trustmark Corporation","n/a","William A. Brown","President","Brown Group Holdings,"Inc."","2018","Beverage Distributor","342634"
"Trustmark Corporation","n/a","William A. Brown","Director and Chairman","Brown Group Holdings,"Inc."","2018","Beverage Distributor","342634"
"Trustmark Corporation","n/a","William A. Brown","Member and President","Brown Media Group,"LLC"","2018","Beverage Distributor","342634"
"Trustmark Corporation","n/a","William A. Brown","Member and Manager","Brown Real Estate Holdings,"LLC"","2018","Beverage Distributor","342634"
