```csv
SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"UNISOUTH,"INC."","Umatilla,"FL"","2019","Nelson,"Jr.","John F."","Trust Dated 5/28/98","47213","3.0344%","n/a"
"UNISOUTH,"INC."","Umatilla,"FL"","2019","Nelson Enterprises,"Inc."","n/a","30126","1.9362%","n/a"
"UNISOUTH,"INC."","Umatilla,"FL"","2019","John F. Nelson,"Jr."","Trust","69105","4.4414%","n/a"
"UNISOUTH,"INC."","Umatilla,"FL"","2019","Cheryl S. Nelson Family Trust","n/a","2584","0.1660%","n/a"
"UNISOUTH,"INC."","Tallahassee,"FL"","2019","Carl R. Pennington Jr. P.A.","Profit Sharing Plan","18306","1.1765%","n/a"
"UNISOUTH,"INC."","Tallahassee,"FL"","2019","Carl R. Pennington Jr.","n/a","69045","4.4375%","n/a"
"UNISOUTH,"INC."","Tallahassee,"FL"","2019","Carl R. Pennington Trust dated 4/10/80","n/a","2424","0.1557%","n/a"
"UNISOUTH,"INC."","Tallahassee,"FL"","2019","Carl R. Pennington Jr. P.A.","Profit Sharing Plan","2424","0.1557%","n/a"
```
```csv
INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"UniSouth,"Inc."","Director / Chairman of the Board","Clement,"Edward G"","Manager","308 East 5th Ave.,"LLC"","2019","Attorney","n/a"
"UniSouth,"Inc."","Director / Chairman of the Board","Clement,"Edward G"","Manager","1503 Donnelly,"LLC"","2019","Attorney","n/a"
"UniSouth,"Inc."","Director / Chairman of the Board","Clement,"Edward G"","Manager","American Title Ins. Agency,"LLC"","2019","Attorney","n/a"
"UniSouth,"Inc."","Director / Chairman of the Board","Clement,"Edward G"","Manager","PC Equipment Leasing,"LLC"","2019","Attorney","n/a"
"UniSouth,"Inc."","Director / Chairman of the Board","Clement,"Edward G"","Manager","Canoe Creek Self Storage,"LLC"","2019","Attorney","n/a"
"UniSouth,"Inc."","Director / Chairman of the Board","Clement,"Edward G"","Manager","C Real Estate Properties,"LLC"","2019","Attorney","n/a"
"UniSouth,"Inc."","Director / Chairman of the Board","Clement,"Edward G"","VP","Lowndes,"Drosdick","Doster","Kantor & Reed","Inc."","2019","Attorney","n/a"
"UniSouth,"Inc."","Director / Chairman of the Board","Clement,"Edward G"","Owner","Summerland Eola Land,"LLLP"","2019","Attorney","n/a"
"UniSouth,"Inc."","Director","Paul W. Bryan II","Pres.","Bryan Properties,"Inc"","2019","Realtor","n/a"
"UniSouth,"Inc."","Director","Paul W. Bryan II","Part owner","Piney Island Ferns,"Inc."","2019","Realtor","n/a"
"UniSouth,"Inc."","Director","Paul W. Bryan II","Member/Owner","B & B Ferns,"LLC"","2019","Realtor","n/a"
"UniSouth,"Inc."","Director","Paul W. Bryan II","Managing Member/Owner","Tavares Regional Medical Group,"LLC"","2019","Realtor","n/a"
"UniSouth,"Inc."","Director","Paul W. Bryan II","Managing Partner/Owner","Bryan Rentals","2019","Realtor","n/a"
"UniSouth,"Inc."","Director","Dwight Edward Wolf,"II"","Mayor","City Government","2019","Retired Educator","n/a"
"UniSouth,"Inc."","Director","Sean Parks","President & Owner","Parks Consulting Services,"LLC"","2019","Consultant","n/a"
"UniSouth,"Inc."","Director","Hanson,"Catherine C."","Owner","Catherine Hanson Real Estate","2019","Realtor","n/a"
"UniSouth,"Inc."","Director","Hanson,"Catherine C."","Part Owner","Hanson & Nipe,"LLC"","2019","Realtor","n/a"
"UniSouth,"Inc."","Director","Hanson,"Catherine C."","Part Owner","Garden Gate Real Estate,"Inc."","2019","Realtor","n/a"
"UniSouth,"Inc."","Director","Hanson,"Catherine C."","Owner","CHRE,"LLE"","2019","Realtor","n/a"
"UniSouth,"Inc."","Director","Hanson,"Catherine C."","Part Owner","GGRE,"Inc"","2019","Realtor","n/a"
"UniSouth,"Inc."","Director
"President & CEO"","Nelson,"Gregory L."","n/a","n/a","2019","n/a","n/a"
