```csv
### SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"UNISOUTH,"INC."","Umatilla,"FL"","2020","Nelson,"Jr.","John F."","Trust Dated 5/28/98","47213","3.0359%","n/a"
"UNISOUTH,"INC."","Umatilla,"FL"","2020","Nelson Enterprises,"Inc."","n/a","30126","1.9372%","n/a"
"UNISOUTH,"INC."","Umatilla,"FL"","2020","John F. Nelson,"Jr."","Trust","69105","4.4437%","n/a"
"UNISOUTH,"INC."","Umatilla,"FL"","2020","Cheryl S. Nelson Family Trust","n/a","2584","0.1661%","n/a"
"UNISOUTH,"INC."","Tallahassee,"FL"","2020","Carl R. Pennington Jr. P.A.","Profit Sharing Plan","18306","1.1771%","n/a"
"UNISOUTH,"INC."","Tallahassee,"FL"","2020","Carl R. Pennington Jr.","n/a","69045","4.4398%","n/a"
"UNISOUTH,"INC."","Tallahassee,"FL"","2020","Carl R. Pennington Trust dated 4/10/80","n/a","2424","0.1558%","n/a"
"UNISOUTH,"INC."","Tallahassee,"FL"","2020","Carl R. Pennington Jr. P.A.","Profit Sharing Plan","n/a","n/a","n/a"
```
```csv
### INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"Unisouth,"Inc."","Director/ Chairman of the Board","Clement,"Edward G"","Manager","308 East 5th Ave.,"LLC"","2020","Attorney","n/a"
"Unisouth,"Inc."","Director/ Chairman of the Board","Clement,"Edward G"","Manager","1503 Donnelly,"LLC"","2020","Attorney","n/a"
"Unisouth,"Inc."","Director/ Chairman of the Board","Clement,"Edward G"","Manager","American Title Ins. Agency,"LLC"","2020","Attorney","n/a"
"Unisouth,"Inc."","Director/ Chairman of the Board","Clement,"Edward G"","Manager","PC Equipment Leasing,"LLC"","2020","Attorney","n/a"
"Unisouth,"Inc."","Director/ Chairman of the Board","Clement,"Edward G"","Manager","Canoe Creek Self Storage,"LLC"","2020","Attorney","n/a"
"Unisouth,"Inc."","Director/ Chairman of the Board","Clement,"Edward G"","Manager","C Real Estate Properties,"LLC"","2020","Attorney","n/a"
"Unisouth,"Inc."","Director/ Chairman of the Board","Clement,"Edward G"","VP","Lowndes,"Drosdick","Doster","Kantor & Reed","Inc."","2020","Attorney","n/a"
"Unisouth,"Inc."","Director/ Chairman of the Board","Clement,"Edward G"","Owner","Summerland Eola Land,"LLLP"","2020","Attorney","n/a"
"Unisouth,"Inc."","Director","Paul W. Bryan II","Pres.","Bryan Properties,"Inc"","2020","Realtor","n/a"
"Unisouth,"Inc."","Director","Paul W. Bryan II","Part owner","Piney Island Ferns,"Inc."","2020","Realtor","n/a"
"Unisouth,"Inc."","Director","Paul W. Bryan II","Part owner","B & B Ferns,"LLC"","2020","Realtor","n/a"
"Unisouth,"Inc."","Director","Paul W. Bryan II","Managing Member/Owner","Tavares Regional Medical Group,"LLC"","2020","Realtor","n/a"
"Unisouth,"Inc."","Director","Paul W. Bryan II","Managing Partner/Owner","Bryan Rentals","2020","Realtor","n/a"
"Unisouth,"Inc."","Director","Sean Parks","President & Owner","Parks Consulting Services,"LLC"","2020","County Commissioner","n/a"
"Unisouth,"Inc."","Director","Hanson,"Catherine C."","Owner","Catherine Hanson Real Estate","2020","Realtor","n/a"
"Unisouth,"Inc."","Director","Hanson,"Catherine C."","Part Owner","Hanson & Nipe,"LLC"","2020","Realtor","n/a"
"Unisouth,"Inc."","Director","Hanson,"Catherine C."","Part Owner","Garden Gate Real Estate,"Inc."","2020","Realtor","n/a"
"Unisouth,"Inc."","Director","Hanson,"Catherine C."","Owner","CHRE,"LLE"","2020","Realtor","n/a"
"Unisouth,"Inc."","Director","Hanson,"Catherine C."","Part Owner","GGRE,"Inc"","2020","Realtor","n/a"
"Unisouth,"Inc."","Director","Nelson,"Gregory L"","n/a","n/a","2020","President & CEO","n/a"
"Unisouth,"Inc."","Director","Granger,"Robert C. Jr."","Pres.","Granger-Carter Construction & Development,"Inc"","2020","Construction & Development","n/a"
"Unisouth,"Inc."","Director","Granger,"Robert C. Jr."","Pres.","Ridge Outdoors U.S.A. Inc","2020","Construction & Development","n/a"
"Unisouth,"Inc."","Director","Granger,"Robert C. Jr."","Pres.","G & C Enterprises of Lake County,"Inc."","2020","Construction & Development","n/a"
"Unisouth,"Inc."","Director","Andrews,"Daniel M."","Part Owner","Andrews & Miller,"P.A."","2020","Public Accountant","n/a"
"Unisouth,"Inc."","Director","Andrews,"Daniel M."","Part Owner","Kairos Ventures,"LLC"","2020","Public Accountant","n/a"
"Unisouth,"Inc."","Director","Andrews,"Daniel M."","Part Owner","Andrews Real Estate Ventures,"LLC"","2020","Public Accountant","n/a"
"Unisouth,"Inc."","Director","Andrews,"Daniel M."","Part Owner","Kairos Real Estate Ventures,"LLC"","2020","Public Accountant","n/a"
"Unisouth,"Inc."","Director","Andrews,"Daniel M."","Partner","Crippen & Company","2020","Public Accountant","n/a"
"Unisouth,"Inc."","S.VP/CFO/Secretary","Frady,"Connie C."","n/a","n/a","2020","n/a","n/a"
"Unisouth,"Inc."","Executive Vice President","Adrid,"Robert P."","n/a","n/a","2020","n/a","n/a"
"Unisouth,"Inc."","Senior Vice President","Lewis,"Gregory R."","n/a","n/a","2020","n/a","n/a"
"Unisouth,"Inc."","Senior Vice President","Stephens,"Michael"","n/a","n/a","2020","n/a","n/a"
"Unisouth,"Inc."","Senior Vice President","Wonus,"William S."","n/a","n/a","2020","n/a","n/a"
"Unisouth,"Inc."","Senior Vice President","Michael Bucher","n/a","n/a","2020","n/a","n/a"
"Unisouth,"Inc."","Senior Vice President","Allan H Seabrook,"Jr."","n/a","n/a","2020","n/a","n/a"
"Unisouth,"Inc."","Senior Vice President","Mary Kay Kahler","n/a","n/a","2020","n/a","n/a"
"Unisouth,"Inc."","Senior Vice President","Joni Wiley","n/a","n/a","2020","n/a","n/a"
"Unisouth,"Inc."","Senior Vice President","Thomas J. Popieski","n/a","n/a","2020","n/a","n/a"
"Unisouth,"Inc."","Senior Vice President","Andre B. Nacaxe","n/a","n/a","2020","n/a","n/a"
"Unisouth,"Inc."","Senior Vice President","Lee Ann Gilson","n/a","n/a","2020","n/a","n/a"
"Unisouth,"Inc."","Senior Vice President","Janet Noack","n/a","n/a","2020","n/a","n/a"
"Unisouth,"Inc."","Senior Vice President","Lynne S. Winker","n/a","n/a","2020","n/a","n/a"
```
