```text
### SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"United Bank Corporation","Barnesville,"GA"","2014","United Bank Corporation Employee Stock Ownership Plan","n/a","310639","21.00%","n/a"
"United Bank Corporation","Forsyth,"GA"","2014","James J. Edwards,"Jr."","n/a","190036","20.05%","n/a"
"United Bank Corporation","Griffin,"GA"","2014","Christopher C. Edwards","n/a","332920","15.30%","n/a"
"United Bank Corporation","Zebulon,"GA"","2014","Allie E. Armistead","n/a","141883","9.59%","n/a"
"United Bank Corporation","Sewanee,"TN"","2014","Laurie E. Fisher","n/a","138921","9.39%","n/a"
"United Bank Corporation","Zebulon,"GA"","2014","John W. Edwards,"Jr."","n/a","105504","7.13%","n/a"
### INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"United Bank Corporation","Senior Attorney for United Bank","Allie E Armistead","n/a","n/a","2014","n/a","n/a"
"United Bank Corporation","Director & President","Christopher C. Edwards","Director & Chief Information Officer at United Bank","n/a","2014","n/a","n/a"
"United Bank Corporation","Director & Chief Executive Officer","J. Joseph Edwards,"Sr."","Director & Vice-chairman of United Bank","n/a","2014","n/a","n/a"
"United Bank Corporation","Director & Chairman","James J. Edwards,"Jr."","Director & Chief Executive Officer of United Bank","Edwards Real Estate Holdings,"LLLP"","2014","n/a","n/a"
"United Bank Corporation","Director & Chairman","James J. Edwards,"Jr."","Director & Chief Executive Officer of United Bank","Edwards Real Estate Management,"LLC"","2014","n/a","n/a"
"United Bank Corporation","Director & Chairman","James J. Edwards,"Jr."","Director & Chief Executive Officer of United Bank","JAASSEE Holdings,"LLLP"","2014","n/a","n/a"
"United Bank Corporation","Director & Chairman","James J. Edwards,"Jr."","Director & Chief Executive Officer of United Bank","Edwards Farm","2014","n/a","n/a"
"United Bank Corporation","Director & VP","John W. Edwards,"Jr."","Director,"Chairman & President of United Bank"","JBJ Developers,"LLC"","2014","n/a","n/a"
"United Bank Corporation","Director","J. William Edwards,"Sr."","Director & Vice-chairman of United Bank","n/a","2014","n/a","n/a"
"United Bank Corporation","n/a","Laurie E. Fisher","n/a","n/a","2014","n/a","n/a"
"United Bank Corporation","Director","Robert E. Mason","Director of United Bank","R.E. Mason Corporation","2014","Commercial Real Estate","n/a"
"United Bank Corporation","Director","Robert E. Mason","Director of United Bank","Mason FMC","2014","Commercial Real Estate","n/a"
"United Bank Corporation","Director","Robert E. Mason","Director of United Bank","Mason Gin & Fertilizer Company","2014","Commercial Real Estate","n/a"
"United Bank Corporation","Director","Douglas J. Tuttle","Director of United Bank","n/a","2014","n/a","n/a"
"United Bank Corporation","n/a","United Bank Corporation Employee Stock Ownership Plan","n/a","n/a","2014","n/a","n/a"
"United Bank Corporation","Director","Forrest A. Watson,"Jr."","Director & General Counsel for United Bank","n/a","2014","n/a","n/a"
"United Bank Corporation","Director","Dr. Tommy Hopkins","n/a","Madison Capital Associates","2014","Physician","n/a"
"United Bank Corporation","Director","Dr. Tommy Hopkins","n/a","Thomas Two LLC","2014","Physician","n/a"
"United Bank Corporation","Director","Dr. Tommy Hopkins","n/a","Orthopedic & Sports Injury Center of Griffin","2014","Physician","n/a"
"United Bank Corporation","Director","Dr. Tommy Hopkins","n/a","Hopkins-Neel LLC","2014","Physician","n/a"
```
