```csv
### SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"Valley Bancshares,"Inc."","Russellville,"AL"","2015","Ila Scott Revocable Trust 6/26/02","Common stock","15400","10.32%","1443609"
"Valley Bancshares,"Inc."","Russellville,"AL"","2015","Danny Gist","Common stock","7460","5.00%","1443609"
"Valley Bancshares,"Inc."","Russellville,"AL"","2015","Danny Gist","Common stock","11740","7.87%","1443609"
"Valley Bancshares,"Inc."","Russellville,"AL"","2015","Jerry James","Common stock","13133","8.80%","1443609"
"Valley Bancshares,"Inc."","Russellville,"AL"","2015","Rogers Investments,"LP"","Common stock","65800","44.13%","1443609"
"Valley Bancshares,"Inc."","Russellville,"AL"","2015","James Bret Gist","Common stock","1000","0.67%","1443609"
"Valley Bancshares,"Inc."","Russellville,"AL"","2015","James Bret Gist","Common stock","13700","9.19%","1443609"
"Valley Bancshares,"Inc."","Russellville,"AL"","2015","Jason F. Gist","Common stock","1000","0.67%","1443609"
"Valley Bancshares,"Inc."","Russellville,"AL"","2015","Jason F. Gist","Common stock","12800","8.59%","1443609"
```
```csv
### INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"Valley State Bank","Director","James Bret Gist","Director","G & G Steel Inc.","2015","Vice President","595337"
"Valley State Bank","Director","James Bret Gist","Member","Road Gear Truck Equipment,"LLC"","2015","Vice President","595337"
"Valley State Bank","Director","James Bret Gist","Member","Warrior River Steel,"LLC"","2015","Vice President","595337"
"Valley State Bank","Director","Jason F. Gist","Director","Franklin Mfg.,"Inc."","2015","Operations Director","595337"
"Valley State Bank","Director","Jason F. Gist","Managing Member","Road Gear Truck Equipment,"LLC"","2015","Operations Director","595337"
"Valley State Bank","Director","Jason F. Gist","Member","Warrior River Steel,"LLC"","2015","Operations Director","595337"
"Valley State Bank","Director","Joe M. Tucker","Director","Joe M. Tucker,"CPA"","2015","CPA","595337"
"Valley State Bank","n/a","Ila Scott Rev. Trust 6/26/02","n/a","n/a","2015","Trust","595337"
"Valley State Bank","n/a","Rogers Investments,"LP"","n/a","n/a","2015","n/a","595337"
"Valley State Bank","Director Chairman","Robert I. Rogers,"Jr."","n/a","Rockwood Farms,"Inc."","2015","Attorney","595337"
"Valley State Bank","Director Chairman","Robert I. Rogers,"Jr."","Co-Manager","Rogers Investments,"LP"","2015","Attorney","595337"
"Valley State Bank","Director Chairman","Robert I. Rogers,"Jr."","General Partner","Rogers Family Partnership,"LP"","2015","Attorney","595337"
"Valley State Bank","Director Chairman","Robert I. Rogers,"Jr."","Partner","Rogers Family Holdings,"LLC"","2015","Attorney","595337"
"Valley State Bank","Director Chairman","Robert I. Rogers,"Jr."","Shareholder","Bedford,"Rogers & Bowling","P.C."","2015","Attorney","595337"
"Valley State Bank","Director Chairman","Robert I. Rogers,"Jr."","Partner","M & R Timberlands","2015","Attorney","595337"
"Valley State Bank","Director","Greg Trapp","President","Fleet Partners","2015","Self-Employed","595337"
"Valley State Bank","Director CEO","Jim H. Davis","n/a","n/a","2015","n/a","595337"
"Valley State Bank","Director President","Robert I. Rogers III","Managing Member","TN Valley Forestry & Wildlife,"LLC"","2015","n/a","595337"
"Valley State Bank","NA","Danny Gist","NA","General Southern Ind.,"Inc."","2015","Executive","595337"
"Valley State Bank","NA","Danny Gist","NA","G&G Steel Inc.","2015","Executive","595337"
"Valley State Bank","NA","Danny Gist","NA","Franklin Mfg. Inc.","2015","Executive","595337"
"Valley State Bank","NA","Danny Gist","NA","G&G Steel Trucking Inc.","2015","Executive","595337"
```
