```text
### SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"Volunteer Bancorp,"Inc."","Rogersville,"TN"","2016","William E Phillips,"voting trustee for the benefit of the Company","pursuant to a stock purchase agreement between the Company and Mr. Ralph Hurley"","common stock","42750","8.61%","1143203"
"Volunteer Bancorp,"Inc."","Sneedville,"TN"","2016","M. Carlin Greene","common stock","24807","5.00%","1143203"
### INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"Volunteer Bancorp,"Inc."","Director","Reed D. Matney","Director","n/a","2016","Retired Banker","1143203"
"Volunteer Bancorp,"Inc."","Director","William E. Phillips","Director","Phillips & Hale","2016","Attorney","1143203"
"Volunteer Bancorp,"Inc."","Director","M. Carlin Greene","Director","n/a","2016","Farmer/Real Estate","1143203"
"Volunteer Bancorp,"Inc."","Director","Gary E. Varnell","Director","Rogersville Office Supply","2016","Mgr/Operator Retail Office Products","1143203"
"Volunteer Bancorp,"Inc."","Director","Scott F. Collins","Director","n/a","2016","Banking","1143203"
"Volunteer Bancorp,"Inc."","President/CEO","Richard K. Yowell","n/a","n/a","2016","Banking","1143203"
"Volunteer Bancorp,"Inc."","Director","William E. Phillips II","Director","Phillips & Hale","2016","Attorney","1143203"
```
