```csv
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"WB&T Bankshares","Waycross,"GA"","2015","Norman Gibson","Common Stock","284748","6.97%","n/a"
"WB&T Bankshares","Lake Park,"GA."","2015","Larry Dean","Common Stock","262417","6.43%","n/a"
"WB&T Bankshares","Hahira,"GA"","2015","Ashley Paulk","Common Stock","256832","6.29%","n/a"
"WB&T Bankshares","Waycross,"GA"","2015","James E. Stewart,"Jr."","Common Stock","214522","5.25%","n/a"
"WB&T Bankshares","Waycross,"GA"","2015","Moi M. Monroe,"III"","Common Stock","214163","5.25%","n/a"
"WB&T Bankshares","Waycross,"GA"","2015","Terry L. Crosby & Geneva Crosby","Common Stock","212075","5.19%","n/a"
"WB&T Bankshares","Valdosta,"GA"","2015","William P. Langdale,"III"","Common Stock","206902","5.07%","n/a"
```
```csv
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"WB&T Bankshares","Director and Chairman","James E. Stewart,"Jr."","Chairman","Stewart Candy Co.","2015","Wholesale Candy Distributor","n/a"
"WB&T Bankshares","Director and Chairman","James E. Stewart,"Jr."","President","Buck Island Land Co.,"Inc."","2015","Wholesale Candy Distributor","n/a"
"WB&T Bankshares","Director and Vice-Chairman","D. Lewayne Dalton","Partner","Dalton & Bennett,"CP/"","2015","Accounting","n/a"
"WB&T Bankshares","Director","Dr. S.W. Clark,"III"","MD","S.William Clark,"MD"","2015","Physician","n/a"
"WB&T Bankshares","Director","Dr. S.W. Clark,"III"","n/a","Clark Eye Clinic,"PC"","2015","Physician","n/a"
"WB&T Bankshares","Director and Secretary","Moi M. Monroe,"III"","n/a","Evaloria Partners,"LLC"","2015","Banking","n/a"
"WB&T Bankshares","Director","J. Conway Gillis","President","Gillis Brothers,"Inc."","2015","President Gillis Brothers,"Inc."","n/a"
"WB&T Bankshares","Director","J. Conway Gillis","President","Dounoco Land Co.,"Inc."","2015","President Gillis Brothers,"Inc."","n/a"
"WB&T Bankshares","Director","J. Conway Gillis","n/a","Gillis Investments","2015","President Gillis Brothers,"Inc."","n/a"
"WB&T Bankshares","Director","David W. Littlefield,"Jr."","President","Littlefield Construction Company","2015","President Littlefield Construction Company","n/a"
"WB&T Bankshares","Director","David W. Littlefield,"Jr."","Vice President","Littlefield Concrete Co.","2015","President Littlefield Construction Company","n/a"
"WB&T Bankshares","Director","A. Harris Hines,"Jr."","n/a","n/a","2015","Retired","n/a"
"WB&T Bankshares","Director","William J. Monroe,"Jr."","n/a","n/a","2015","Retired","n/a"
"WB&T Bankshares","Director","Ashley Paulk","President","Valdosta Electric","2015","Owner Ashley Paulk,"Inc."","n/a"
"WB&T Bankshares","Director","Ashley Paulk","President","Valdosta Technical Systems","2015","Owner Ashley Paulk,"Inc."","n/a"
"WB&T Bankshares","Director","Larry Dean","President","Standard Contractors,"Inc."","2015","President Standard Contractors,"Inc."","n/a"
"WB&T Bankshares","Director","William P. Langdale,"III"","Partner","Langdale & Vallotton,"LLP"","2015","Attorney","n/a"
"WB&T Bankshares","Director","William P. Langdale,"III"","Co-Manager","Honor Ridge Properties,"LLC"","2015","Attorney","n/a"
"WB&T Bankshares","Director","William P. Langdale,"III"","Vice President","PB Automotive,"Inc."","2015","Attorney","n/a"
"WB&T Bankshares","Director","Jack C. Kilgore","Director","Primo Water,"Inc."","2015","Banking","n/a"
"WB&T Bankshares","President & CEO","Ansel P. Clark","n/a","n/a","2015","Banking","n/a"
"WB&T Bankshares","Executive Vice President","Steve Wood","n/a","n/a","2015","Banking","n/a"
"WB&T Bankshares","Chief Financial Officer","Eli D. Mullis","n/a","n/a","2015","Banking","n/a"
```
