```csv
### SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"Zachary Bancshares,"Inc."","Zachary,"LA"","2017","Russell Bankston","n/a","172243","1.76%","n/a"
"Zachary Bancshares,"Inc."","Zachary,"LA"","2017","John Randall Brian","n/a","1000","0.58%","n/a"
"Zachary Bancshares,"Inc."","Zachary,"LA"","2017","Winston E. Canning","n/a","1300","0.75%","n/a"
"Zachary Bancshares,"Inc."","Zachary,"LA"","2017","Rodney S. Johnson","n/a","1821","1.06%","n/a"
"Zachary Bancshares,"Inc."","Zachary,"LA"","2017","Preston L. Kennedy","n/a","500","0.29%","n/a"
"Zachary Bancshares,"Inc."","Zachary,"LA"","2017","Tom Ed McHugh","n/a","1800","1.05%","n/a"
"Zachary Bancshares,"Inc."","Zachary,"LA"","2017","Mark S. Marionneaux","n/a","500","0.29%","n/a"
"Zachary Bancshares,"Inc."","Zachary,"LA"","2017","Harry S. Morris,"Jr."","n/a","1050","0.61%","n/a"
"Zachary Bancshares,"Inc."","Zachary,"LA"","2017","David M. Thornton","n/a","1456","0.85%","n/a"
"Zachary Bancshares,"Inc."","Zachary,"LA"","2017","Melinda M. White","n/a","506","0.29%","n/a"
"Zachary Bancshares,"Inc."","Zachary,"LA"","2017","Leonard F. Aguillard","n/a","3000","1.74%","n/a"
"Zachary Bancshares,"Inc."","Zachary,"LA"","2017","Hardee M. Brian","n/a","840","0.49%","n/a"
"Zachary Bancshares,"Inc."","Zachary,"LA"","2017","J. Larry Bellard","n/a","800","0.46%","n/a"
"Zachary Bancshares,"Inc."","Zachary,"LA"","2017","Judy W. Foreman","n/a","196","0.11%","n/a"
```
```csv
### INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"Bank of Zachary","Director,"Vice Chairman"","Russell Bankston","Retired Judge & Attorney","n/a","2017","Retired Judge & Attorney","n/a"
"Bank of Zachary","Director","John Randall Brian","n/a","n/a","2017","Real Estate Construction","n/a"
"Bank of Zachary","Director","Winston E. Canning","n/a","n/a","2017","Retired Bank of Zachary-EVP 12/31/2011","n/a"
"Bank of Zachary","Director,"Chairman of ZBI Board"","Rodney S. Johnson","Insurance Agent","State Farm Insurance Agent","2017","State Farm Insurance Agent","n/a"
"Bank of Zachary","President,"CEO"","Preston L. Kennedy","President","n/a","2017","n/a","n/a"
"Bank of Zachary","Director","Tom Ed McHugh","Executive Officer","n/a","2017","Retired-La Municipal Assoc Executive Officer","n/a"
"Bank of Zachary","Director,"President"","Mark S. Marionneaux","n/a","n/a","2017","n/a","n/a"
"Bank of Zachary","Director","Harry S. Morris,"Jr."","n/a","n/a","2017","Retired Bank of Zachary-CEO 12/31/2011","n/a"
"Bank of Zachary","Director","David M. Thornton","President","Thornton,"Musso & Bellamin"","2017","Water Treatment Company President","n/a"
"Bank of Zachary","Director","Melinda M. White","n/a","n/a","2017","Retired Bank of Zachary-VP 12/31/2017","n/a"
"Bank of Zachary","Director Emeritus","Leonard F. Aguillard","President","Blue Flash Express","2017","Warehousing & Trucking Executive","n/a"
"Bank of Zachary","Director Emeritus","Leonard F. Aguillard","President","Agway Systems","2017","Warehousing & Trucking Executive","n/a"
"Bank of Zachary","Director Emeritus","Hardee M. Brian","n/a","n/a","2017","Local Farmer & Cattleman","n/a"
"Bank of Zachary","Treasurer","J. Larry Bellard","n/a","n/a","2017","n/a","n/a"
"Bank of Zachary","Sr. V.P Loan Production","Judy W. Foreman","n/a","n/a","2017","n/a","n/a"
```
