### SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"FCN BANC CORP.","Spring Lake,"MI"","2023","John Reifel,"or his Successor","as Trustee of the John W. Reifel Trust"","Common Stock","135600","7%","n/a"
"FCN BANC CORP.","Spring Lake,"MI"","2023","Virgina Reifel,"or her Successor","as Trustee of the Virginia M. Reifel Trust"","Common Stock","50000","2%","n/a"
"FCN BANC CORP.","Spring Lake,"MI"","2023","John Reifel","Common Stock","185600","10%","n/a"
### INSIDERS CSV
"Bank","Internal Title","Person","Fiscal Year","Occupation","Percentage of Voting Shares","RSSD_ID","Percentage of Voting Shares in Subsidiaries"
"FCN BANC CORP.","Principle Shareholder","John W. Reifel,"or his Successor","as Trustee of the John W. Reifel Trust"","2023","Retired Professor of Economics","10.78%","n/a","n/a"
"FCN BANC CORP.","Director,"Special Projects Coordinator"","Devin W. Listerman","2023","Businessman","0.52%","n/a","n/a"
"FCN BANC CORP.","Director,"Retired President","CEO"","Arthur K. Hildebrand","2023","Retired Banker","4.62%","n/a","n/a"
"FCN BANC CORP.","Chairman of the Board of Directors","Kenneth T. Wanstrath","2023","Businessman","1.81%","n/a","n/a"
"FCN BANC CORP.","Director","Ronald J. Knueven","2023","Certified Public Accountant","0.12%","n/a","n/a"
"FCN BANC CORP.","Director,"Owner"","Brad M. Tebbe","2023","Certified Public Accountant","1.16%","n/a","100%"
"FCN BANC CORP.","Director,"Owner"","Kevin D. Lyons","2023","Insurance Agent","0.25%","n/a","50%"
"FCN BANC CORP.","Director","K. Andrew Yaryan","2023","Eye Doctor","0.01%","n/a","100%"
"FCN BANC CORP.","President,"Director","CEO"","Thomas D. Horninger","2023","Banker","0.02%","n/a","n/a"
"FCN BANC CORP.","Treasurer,"VP","Chief Financial Officer"","April A. Berne","2023","Accountant","0.02%","n/a","n/a"
"FCN BANC CORP.","Director,"Secretary","Vice President"","Dave Lorey","2023","Entrepreneur","3.61%","n/a","n/a"
"FCN BANC CORP.","Secretary,"Risk Officer"","Ray Gruner","2023","Banker","0.00%","n/a","n/a"
