### SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"Lockhart Bankshares,"Inc."","Lockhart,"TX"","2023","Fred A. Moore","n/a","21161","13.930%","n/a"
"Lockhart Bankshares,"Inc."","Lockhart,"TX"","2023","Laura Moore","n/a","3426","2.250%","n/a"
"Lockhart Bankshares,"Inc."","College Station,"TX"","2023","Christopher Dailey","n/a","8914","5.866%","n/a"
"Lockhart Bankshares,"Inc."","College Station,"TX"","2023","Christopher Dailey","n/a","283","0.186%","n/a"
"Lockhart Bankshares,"Inc."","Lockhart,"TX"","2023","Glen C. Moore,"Trustee of the Glen C. Moore Revocable Trust"","n/a","11000","7.238%","n/a"
"Lockhart Bankshares,"Inc."","Stephenville,"TX"","2023","William Clifton or Patricia Kay McCrury","n/a","9624","6.333%","n/a"
### INSIDERS CSV
"Bank","Internal Title","Person","Fiscal Year","Occupation","Percentage of Voting Shares","RSSD_ID","Percentage of Voting Shares in Subsidiaries"
"Lockhart Bankshares,"Inc."","Director,"President","CEO"","Mark W. Sheffield","2023","Banker","0.454%","n/a","n/a"
"Lockhart Bankshares,"Inc."","Chairman,"Director"","Jeffry Y. Michelson","2023","Automobile Dealer","0.875%","n/a","n/a"
"Lockhart Bankshares,"Inc."","Director","Laura Moore","2023","Retired Teacher","2.254%","n/a","n/a"
"Lockhart Bankshares,"Inc."","n/a","Fred Moore","2023","Retired Judge","13.930%","n/a","n/a"
"Lockhart Bankshares,"Inc."","Vice Chairman,"Director"","Carl R. Ohlendorf","2023","Insurance Agent","4.379%","n/a","n/a"
"Lockhart Bankshares,"Inc."","Director","Amelia P. Smith","2023","Realtor","2.109%","n/a","n/a"
"Lockhart Bankshares,"Inc."","Director","Christopher Dailey","2023","Electrical Contractor","7.233%","n/a","n/a"
"Lockhart Bankshares,"Inc."","Director","Tim Clark","2023","Auto Dealer","0.454%","n/a","n/a"
"Lockhart Bankshares,"Inc."","Treasurer,"Executive Vice President","COO"","Randall Till","2023","Banker","0.00%","n/a","n/a"
"Lockhart Bankshares,"Inc."","Secretary,"Vice President","HR"","Natalie Cain","2023","Banker","0.00%","n/a","n/a"
